,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Scott Jasechko. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113837445,10.1029/2018rg000627,,,Global Isotope Hydrogeology―Review,Reviews of Geophysics,,,2019-09,2019,57,3,835-965,Closed,Article,"Jasechko, Scott",,"Jasechko, Scott (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1113837445,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
2,100,pub.1120499072,10.5194/hess-23-3423-2019,,,Global sinusoidal seasonality in precipitation isotopes,Hydrology and Earth System Sciences,,,2019-08-21,2019,23,8,3423-3436,All OA; Gold,Article,"Allen, Scott T.; Jasechko, Scott; Berghuijs, Wouter R.; Welker, Jeffrey M.; Goldsmith, Gregory R.; Kirchner, James W.",,"Allen, Scott T. (Swiss Federal Institute of Technology in Zurich); Jasechko, Scott (University of California, Santa Barbara); Berghuijs, Wouter R. (Swiss Federal Institute of Technology in Zurich); Welker, Jeffrey M. (University of Oulu; University of Alaska Anchorage); Goldsmith, Gregory R. (Chapman University); Kirchner, James W. (Swiss Federal Institute of Technology in Zurich; Swiss Federal Institute for Forest, Snow and Landscape Research; University of California, Berkeley)",2,2,,,http://dx.doi.org/10.5194/hess-23-3423-2019,https://app.dimensions.ai/details/publication/pub.1120499072,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
3,100,pub.1118146955,10.1038/s41893-019-0325-z,,,Deeper well drilling an unsustainable stopgap to groundwater depletion,Nature Sustainability,,,2019-08,2019,2,8,773-782,Closed,Article,"Perrone, Debra; Jasechko, Scott","Perrone, Debra","Perrone, Debra (University of California, Santa Barbara); Jasechko, Scott (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1118146955,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
4,100,pub.1111773003,10.1016/j.jhydrol.2019.01.030,,,Uncertainties in tritium mass balance models for groundwater recharge estimation,Journal of Hydrology,,,2019-04,2019,571,Journal of Hydrology 543 2016,150-158,Closed,Article,"Li, Zhi; Jasechko, Scott; Si, Bingcheng","Li, Zhi","Li, Zhi (); Jasechko, Scott (University of California, Santa Barbara); Si, Bingcheng (University of Saskatchewan)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1111773003,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
5,100,pub.1112225896,10.5194/hess-2019-61,,,Global sinusoidal seasonality in precipitation isotopes,Hydrology and Earth System Sciences Discussions,,,2019-02-20,2019,,,1-23,All OA; Gold,Article,"Allen, Scott T.; Jasechko, Scott; Berghuijs, Wouter R.; Welker, Jeffrey M.; Goldsmith, Gregory R.; Kirchner, James W.",,"Allen, Scott T. (Swiss Federal Institute of Technology in Zurich); Jasechko, Scott (University of California, Santa Barbara); Berghuijs, Wouter R. (Swiss Federal Institute of Technology in Zurich); Welker, Jeffrey M. (University of Oulu; University of Alaska Anchorage); Goldsmith, Gregory R. (Chapman University); Kirchner, James W. (Swiss Federal Institute of Technology in Zurich; Swiss Federal Institute for Forest, Snow and Landscape Research; University of California, Berkeley)",1,1,,,https://www.hydrol-earth-syst-sci-discuss.net/hess-2019-61/hess-2019-61.pdf,https://app.dimensions.ai/details/publication/pub.1112225896,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
6,100,pub.1107515395,10.1088/1748-9326/aae6d8,,,Competition for shrinking window of low salinity groundwater,Environmental Research Letters,,,2018-11-13,2018,13,11,114013,All OA; Gold,Article,"Ferguson, Grant; McIntosh, Jennifer C; Perrone, Debra; Jasechko, Scott",,"Ferguson, Grant (); McIntosh, Jennifer C (University of Arizona); Perrone, Debra (University of California, Santa Barbara); Jasechko, Scott (University of California, Santa Barbara)",5,5,,,https://iopscience.iop.org/article/10.1088/1748-9326/aae6d8/pdf,https://app.dimensions.ai/details/publication/pub.1107515395,09 Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering,
7,200,pub.1105982067,10.1126/science.aat6041,30072527,,"Indigenous communities, groundwater opportunities",Science,,,2018-08-03,2018,361,6401,453-455,Closed,Article,"Womble, Philip; Perrone, Debra; Jasechko, Scott; Nelson, Rebecca L.; Szeptycki, Leon F.; Anderson, Robert T.; Gorelick, Steven M.",,"Womble, Philip (Stanford University); Perrone, Debra (University of California, Santa Barbara; Stanford University); Jasechko, Scott (University of California, Santa Barbara); Nelson, Rebecca L. (Stanford University; University of Melbourne); Szeptycki, Leon F. (Stanford University); Anderson, Robert T. (University of Washington; Harvard University); Gorelick, Steven M. (Stanford University)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1105982067,,,,,,
8,100,pub.1105054524,10.1038/s41558-018-0212-z,,,Plants turn on the tap,Nature Climate Change,,,2018-07,2018,8,7,562-563,Closed,Article,"Jasechko, Scott","Jasechko, Scott","Jasechko, Scott (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1105054524,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0401 Atmospheric Sciences
9,100,pub.1104356851,10.1038/s41561-018-0164-y,,,Author Correction: The global volume and distribution of modern groundwater,Nature Geoscience,,,2018-07,2018,11,7,542-542,All OA; Gold,Article,"Gleeson, Tom; Befus, Kevin M.; Jasechko, Scott; Luijendijk, Elco; Cardenas, M. Bayani","Gleeson, Tom","Gleeson, Tom (University of Victoria; McGill University); Befus, Kevin M. (The University of Texas at Austin); Jasechko, Scott (University of Calgary); Luijendijk, Elco (McGill University; University of Göttingen); Cardenas, M. Bayani (The University of Texas at Austin)",0,0,,,https://www.nature.com/articles/s41561-018-0164-y.pdf,https://app.dimensions.ai/details/publication/pub.1104356851,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
10,100,pub.1103856516,10.1029/2018gl078409,,,The Persistence of Brines in Sedimentary Basins,Geophysical Research Letters,,,2018-05-28,2018,45,10,4851-4858,"All OA; Green, Accepted & Submitted",Article,"Ferguson, Grant; McIntosh, Jennifer C.; Grasby, Stephen E.; Hendry, M. Jim; Jasechko, Scott; Lindsay, Matthew B. J.; Luijendijk, Elco",,"Ferguson, Grant (University of Saskatchewan); McIntosh, Jennifer C. (University of Arizona); Grasby, Stephen E. (Geological Survey of Canada); Hendry, M. Jim (University of Saskatchewan); Jasechko, Scott (University of California, Santa Barbara); Lindsay, Matthew B. J. (University of Saskatchewan); Luijendijk, Elco (University of Göttingen)",5,5,,,https://repository.arizona.edu/bitstream/10150/628610/1/Ferguson_et_al-2018-Geophysical_Research_Letters.pdf,https://app.dimensions.ai/details/publication/pub.1103856516,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
11,100,pub.1092533932,10.1002/eco.1921,,,Watershed services in the humid tropics: Opportunities from recent advances in ecohydrology,Ecohydrology,,,2018-04,2018,11,3,e1921,All OA; Gold,Article,"Hamel, Perrine; Riveros‐Iregui, Diego; Ballari, Daniela; Browning, Trevor; Célleri, Rolando; Chandler, David; Chun, Kwok Pan; Destouni, Georgia; Jacobs, Suzanne; Jasechko, Scott; Johnson, Mark; Krishnaswamy, Jagdish; Poca, María; Pompeu, Patrícia Vieira; Rocha, Humberto",,"Hamel, Perrine (Stanford University); Riveros‐Iregui, Diego (); Ballari, Daniela (University of Cuenca); Browning, Trevor (The Ohio State University); Célleri, Rolando (University of Cuenca); Chandler, David (Syracuse University); Chun, Kwok Pan (Hong Kong Baptist University); Destouni, Georgia (Stockholm University); Jacobs, Suzanne (); Jasechko, Scott (University of California, Santa Barbara; University of Calgary); Johnson, Mark (University of British Columbia); Krishnaswamy, Jagdish (Ashoka Trust for Research in Ecology and the Environment); Poca, María (National University of Córdoba); Pompeu, Patrícia Vieira (University of Sao Paulo); Rocha, Humberto (University of Sao Paulo)",10,10,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/eco.1921,https://app.dimensions.ai/details/publication/pub.1092533932,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
12,100,pub.1100269314,10.1002/hyp.11435,,,Formation waters discharge to rivers near oil sands projects,Hydrological Processes,,,2018-02-15,2018,32,4,533-549,Closed,Article,"Ellis, Jessica; Jasechko, Scott",,"Ellis, Jessica (University of Calgary); Jasechko, Scott (University of California, Santa Barbara; University of Calgary)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1100269314,09 Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering,
13,500,pub.1093032333,10.1073/pnas.1701682114,29180405,PMC5740626,Hydraulic fracturing near domestic groundwater wells,Proceedings of the National Academy of Sciences,,,2017-12-12,2017,114,50,13138-13143,All OA; Gold,Article,"Jasechko, Scott; Perrone, Debra",,"Jasechko, Scott (University of California, Santa Barbara; University of Calgary); Perrone, Debra (University of California, Santa Barbara; Stanford University)",11,11,0.2,5.46,https://www.pnas.org/content/pnas/114/50/13138.full.pdf,https://app.dimensions.ai/details/publication/pub.1093032333,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
14,100,pub.1091972594,10.1088/1748-9326/aa8ac0,,,Dry groundwater wells in the western United States,Environmental Research Letters,,,2017-10-01,2017,12,10,104002,All OA; Gold,Article,"Perrone, D; Jasechko, S",,"Perrone, D (); Jasechko, S ()",19,18,,6.25,https://iopscience.iop.org/article/10.1088/1748-9326/aa8ac0/pdf,https://app.dimensions.ai/details/publication/pub.1091972594,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
15,100,pub.1085437585,10.1002/2017gl073322,,,The rapid yet uneven turnover of Earth's groundwater,Geophysical Research Letters,,,2017-06-16,2017,44,11,5511-5520,"All OA; Green, Published",Article,"Befus, Kevin M.; Jasechko, Scott; Luijendijk, Elco; Gleeson, Tom; Cardenas, M. Bayani",,"Befus, Kevin M. (University of Wyoming); Jasechko, Scott (University of Calgary); Luijendijk, Elco (University of Göttingen); Gleeson, Tom (University of Victoria); Cardenas, M. Bayani (The University of Texas at Austin)",8,7,,2.63,https://dspace.library.uvic.ca//bitstream/1828/8343/3/Befus_GeophyResearch_Lttrs_2017.pdf,https://app.dimensions.ai/details/publication/pub.1085437585,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
16,100,pub.1084731429,10.1002/hyp.11175,,,Isotopic evidence for widespread cold‐season‐biased groundwater recharge and young streamflow across central Canada,Hydrological Processes,,,2017-06-15,2017,31,12,2196-2209,Closed,Article,"Jasechko, Scott; Wassenaar, Leonard I.; Mayer, Bernhard",,"Jasechko, Scott (University of Calgary); Wassenaar, Leonard I. (); Mayer, Bernhard (University of Calgary)",24,23,,7.89,,https://app.dimensions.ai/details/publication/pub.1084731429,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
17,100,pub.1085054864,10.1038/ngeo2943,,,Global aquifers dominated by fossil groundwaters but wells vulnerable to modern contamination,Nature Geoscience,,,2017-06,2017,10,6,425-429,"All OA; Green, Accepted & Submitted",Article,"Jasechko, Scott; Perrone, Debra; Befus, Kevin M.; Bayani Cardenas, M.; Ferguson, Grant; Gleeson, Tom; Luijendijk, Elco; McDonnell, Jeffrey J.; Taylor, Richard G.; Wada, Yoshihide; Kirchner, James W.","Jasechko, Scott","Jasechko, Scott (University of Calgary); Perrone, Debra (Stanford University); Befus, Kevin M. (University of Wyoming); Bayani Cardenas, M. (The University of Texas at Austin); Ferguson, Grant (University of Saskatchewan); Gleeson, Tom (University of Victoria); Luijendijk, Elco (University of Göttingen); McDonnell, Jeffrey J. (University of Saskatchewan; University of Aberdeen; Oregon State University); Taylor, Richard G. (University College London); Wada, Yoshihide (International Institute for Applied Systems Analysis; Utrecht University); Kirchner, James W. (Swiss Federal Institute of Technology in Zurich; Swiss Federal Institute for Forest, Snow and Landscape Research; University of California, Berkeley)",60,54,,19.74,http://pure.iiasa.ac.at/id/eprint/14544/1/ngeo2943-s1.pdf,https://app.dimensions.ai/details/publication/pub.1085054864,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
18,100,pub.1084006378,10.1002/2016gl072235,,,Revisiting the contribution of transpiration to global terrestrial evapotranspiration,Geophysical Research Letters,,,2017-03-28,2017,44,6,2792-2801,All OA; Gold,Article,"Wei, Zhongwang; Yoshimura, Kei; Wang, Lixin; Miralles, Diego G.; Jasechko, Scott; Lee, Xuhui",,"Wei, Zhongwang (Yale University); Yoshimura, Kei (University of Tokyo); Wang, Lixin (Indiana University – Purdue University Indianapolis); Miralles, Diego G. (VU University Amsterdam; Ghent University); Jasechko, Scott (University of Calgary); Lee, Xuhui (Yale University; Nanjing University of Information Science and Technology)",71,65,,31.66,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016GL072235,https://app.dimensions.ai/details/publication/pub.1084006378,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
19,200,pub.1099585957,10.1130/abs/2017am-296561,,,FRESH WATER AGES IN GLOBAL ARID AND MOUNTAINOUS REGIONS,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Kirchner, James W.; Jasechko, Scott; Perrone, Debra; Befus, Kevin M.; Cardenas, M. Bayani; Ferguson, Grant; Luijendijk, Elco; Gleeson, Tom; McDonnell, Jeffrey J.; Taylor, Richard; Wada, Yoshihide; Welker, Jeff",,"Kirchner, James W. (); Jasechko, Scott (); Perrone, Debra (); Befus, Kevin M. (); Cardenas, M. Bayani (); Ferguson, Grant (); Luijendijk, Elco (); Gleeson, Tom (); McDonnell, Jeffrey J. (); Taylor, Richard (); Wada, Yoshihide (); Welker, Jeff ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099585957,,,,,,
20,200,pub.1031038505,10.1038/nature18947,27558068,,Evaristo et al. reply,Nature,,,2016-08,2016,536,7617,e3-e3,Closed,Article,"Evaristo, J.; Jasechko, S.; McDonnell, J. J.","Evaristo, J.","Evaristo, J. (University of Saskatchewan); Jasechko, S. (University of Calgary); McDonnell, J. J. (University of Saskatchewan; University of Aberdeen; Oregon State University)",1,1,0,,,https://app.dimensions.ai/details/publication/pub.1031038505,,,,,,
21,100,pub.1008832188,10.1002/2016gc006400,,,Late‐Pleistocene precipitation δ18O interpolated across the global landmass,Geochemistry Geophysics Geosystems,,,2016-08,2016,17,8,3274-3288,Closed,Article,"Jasechko, Scott",,"Jasechko, Scott (University of Calgary)",10,7,,2.57,,https://app.dimensions.ai/details/publication/pub.1008832188,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
22,100,pub.1022508176,10.1016/j.chemgeo.2016.02.012,,,Partitioning young and old groundwater with geochemical tracers,Chemical Geology,,,2016-06,2016,427,Geochim. Cosmochim. Acta 66 2002,35-42,Closed,Article,"Jasechko, Scott",,"Jasechko, Scott (University of Calgary)",16,9,,3.95,,https://app.dimensions.ai/details/publication/pub.1022508176,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
23,100,pub.1028457670,10.1038/ngeo2636,,,Substantial proportion of global streamflow less than three months old,Nature Geoscience,,,2016-02,2016,9,2,126-129,Closed,Article,"Jasechko, Scott; Kirchner, James W.; Welker, Jeffrey M.; McDonnell, Jeffrey J.","Jasechko, Scott","Jasechko, Scott (University of Calgary); Kirchner, James W. (Swiss Federal Institute of Technology in Zurich; Swiss Federal Institute for Forest, Snow and Landscape Research; University of California, Berkeley); Welker, Jeffrey M. (University of Alaska Anchorage); McDonnell, Jeffrey J. (University of Saskatchewan; University of Aberdeen; Oregon State University)",110,70,,27.16,,https://app.dimensions.ai/details/publication/pub.1028457670,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
24,100,pub.1019162745,10.1038/ngeo2590,,,The global volume and distribution of modern groundwater,Nature Geoscience,,,2016-02,2016,9,2,161-167,Closed,Article,"Gleeson, Tom; Befus, Kevin M.; Jasechko, Scott; Luijendijk, Elco; Cardenas, M. Bayani","Gleeson, Tom","Gleeson, Tom (University of Victoria; McGill University); Befus, Kevin M. (The University of Texas at Austin); Jasechko, Scott (University of Calgary); Luijendijk, Elco (McGill University; University of Göttingen); Cardenas, M. Bayani (The University of Texas at Austin)",155,100,,40.96,,https://app.dimensions.ai/details/publication/pub.1019162745,0402 Geochemistry; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,0403 Geology,04 Earth Sciences,05 Environmental Sciences
25,100,pub.1001359401,10.1088/1748-9326/10/12/124015,,,Intensive rainfall recharges tropical groundwaters,Environmental Research Letters,,,2015-12-01,2015,10,12,124015,All OA; Gold,Article,"Jasechko, Scott; Taylor, Richard G",,"Jasechko, Scott (University of Calgary); Taylor, Richard G (University College London)",37,25,,6.91,http://iopscience.iop.org/article/10.1088/1748-9326/10/12/124015/pdf,https://app.dimensions.ai/details/publication/pub.1001359401,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
26,100,pub.1039313921,10.5194/cp-11-1375-2015,,,Late-glacial to late-Holocene shifts in global precipitation δ18O,Climate of the Past,,,2015-10-14,2015,11,10,1375-1393,All OA; Gold,Article,"Jasechko, S.; Lechler, A.; Pausata, F. S. R.; Fawcett, P. J.; Gleeson, T.; Cendón, D. I.; Galewsky, J.; LeGrande, A. N.; Risi, C.; Sharp, Z. D.; Welker, J. M.; Werner, M.; Yoshimura, K.",,"Jasechko, S. (University of New Mexico; University of Calgary); Lechler, A. (Pacific Lutheran University); Pausata, F. S. R. (Stockholm University); Fawcett, P. J. (University of New Mexico); Gleeson, T. (University of Victoria); Cendón, D. I. (Australian Nuclear Science and Technology Organisation); Galewsky, J. (University of New Mexico); LeGrande, A. N. (Goddard Institute for Space Studies); Risi, C. (); Sharp, Z. D. (University of New Mexico); Welker, J. M. (University of Alaska Anchorage); Werner, M. (Alfred Wegener Institute for Polar and Marine Research); Yoshimura, K. (University of Tokyo)",23,13,,4.3,https://www.clim-past.net/11/1375/2015/cp-11-1375-2015.pdf,https://app.dimensions.ai/details/publication/pub.1039313921,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
