,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Simone Pulver. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1085300367,10.1080/17565529.2017.1318737,,,"Characterizing the climate issue context in Mexico: reporting on climate change in Mexican newspapers, 1996–2009",Climate and Development,,,2018-08-18,2018,10,6,538-551,Closed,Article,"Pulver, Simone; Sainz-Santamaría, Jaime",,"Pulver, Simone (University of California, Santa Barbara); Sainz-Santamaría, Jaime (Center for Research and Teaching in Economics)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1085300367,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
2,100,pub.1038254640,10.1002/wcc.240,,,Private‐sector responses to climate change in the Global South,Wiley Interdisciplinary Reviews Climate Change,,,2013-11,2013,4,6,479-496,Closed,Article,"Pulver, Simone; Benney, Tabitha",,"Pulver, Simone (University of California, Santa Barbara); Benney, Tabitha (University of Utah)",6,3,,1.91,,https://app.dimensions.ai/details/publication/pub.1038254640,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
3,100,pub.1043748868,10.1016/j.enpol.2011.08.006,,,Carbon markets and low-carbon investment in emerging economies: A synthesis of parallel workshops in Brazil and India,Energy Policy,,,2011-10,2011,39,10,6698-6700,Closed,Article,"Hultman, Nathan E.; Pulver, Simone; Pacca, Sergio; Saran, Samir; Powell, Lydia; Romeiro, Viviane; Benney, Tabitha","Hultman, Nathan E.","Hultman, Nathan E. (University of Maryland, College Park; Pacific Northwest National Laboratory); Pulver, Simone (University of California, Santa Barbara); Pacca, Sergio (University of Sao Paulo); Saran, Samir (Observer Research Foundation); Powell, Lydia (Observer Research Foundation); Romeiro, Viviane (University of Sao Paulo); Benney, Tabitha (University of California, Santa Barbara)",5,1,,2.2,,https://app.dimensions.ai/details/publication/pub.1043748868,1605 Policy and Administration; 16 Studies in Human Society; 1402 Applied Economics; 14 Economics,1605 Policy and Administration,16 Studies in Human Society,1402 Applied Economics,14 Economics,
4,100,pub.1029391633,10.1016/j.enpol.2010.06.063,,,Carbon market risks and rewards: Firm perceptions of CDM investment decisions in Brazil and India,Energy Policy,,,2010-08,2010,40,,90-102,Closed,Article,"Hultman, Nathan E.; Pulver, Simone; Guimarães, Leticia; Deshmukh, Ranjit; Kane, Jennifer","Hultman, Nathan E.","Hultman, Nathan E. (University of Maryland, College Park); Pulver, Simone (University of California, Santa Barbara); Guimarães, Leticia (University of Maryland, College Park); Deshmukh, Ranjit (); Kane, Jennifer (University of Maryland, College Park)",29,7,,12.3,,https://app.dimensions.ai/details/publication/pub.1029391633,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
5,100,pub.1023616498,10.3763/cdev.2010.0052,,,Carbon market participation by sugar mills in Brazil,Climate and Development,,,2010-07,2010,2,3,248-262,Closed,Article,"PULVER, SIMONE; HULTMAN, NATHAN; GUIMARãES, LETICIA",,"PULVER, SIMONE (University of California, Santa Barbara); HULTMAN, NATHAN (University of Maryland, College Park); GUIMARãES, LETICIA (University of Maryland, College Park)",3,0,,,,https://app.dimensions.ai/details/publication/pub.1023616498,16 Studies in Human Society; 05 Environmental Sciences,16 Studies in Human Society,05 Environmental Sciences,,,
6,200,pub.1042610016,10.1162/glep.2009.9.2.1,,,"“Thinking About Tomorrows”: Scenarios, Global Environmental Politics, and Social Science Scholarship",Global Environmental Politics,,,2009-05,2009,9,2,1-13,Closed,Article,"Pulver, Simone; VanDeveer, Stacy D.",,"Pulver, Simone (); VanDeveer, Stacy D. ()",17,7,,4.39,,https://app.dimensions.ai/details/publication/pub.1042610016,1606 Political Science; 16 Studies in Human Society; 1604 Human Geography; 05 Environmental Sciences; 0502 Environmental Science and Management,1606 Political Science,16 Studies in Human Society,1604 Human Geography,05 Environmental Sciences,0502 Environmental Science and Management
7,200,pub.1042153839,10.1088/1755-1307/6/49/492010,,,Where next with global environmental scenarios?,IOP Conference Series Earth and Environmental Science,,,2009-02-01,2009,6,49,492010,All OA; Gold,Article,"Pulver, Simone; O'Neill, B; VanDeveer, S; Garb, Y",,"Pulver, Simone (Brown University); O'Neill, B (University of Colorado Boulder); VanDeveer, S (University of New Hampshire); Garb, Y (Ben-Gurion University of the Negev)",0,0,,,http://iopscience.iop.org/article/10.1088/1755-1307/6/49/492010/pdf,https://app.dimensions.ai/details/publication/pub.1042153839,,,,,,
8,200,pub.1019986988,10.1088/1755-1307/6/48/482006,,,Firm decisions to invest in low-carbon projects in developing countries: The influence of climate policy and evolving carbon markets,IOP Conference Series Earth and Environmental Science,,,2009-02-01,2009,6,48,482006,All OA; Gold,Article,"Hultman, Nathan; Pulver, S",,"Hultman, Nathan (University of Maryland, College Park); Pulver, S (Brown University)",0,0,,,https://iopscience.iop.org/article/10.1088/1755-1307/6/48/482006/pdf,https://app.dimensions.ai/details/publication/pub.1019986988,,,,,,
9,100,pub.1042470270,10.1163/156853509x438580,,,Ethics-Based Environmentalism in Practice: Religious-Environmental Organizations in the United States,Worldviews Global Religions Culture and Ecology,,,2009,2009,13,2,145-179,Closed,Article,"Smith, Angela; Pulver, Simone",,"Smith, Angela (Johns Hopkins University); Pulver, Simone (Brown University)",17,7,,37.28,,https://app.dimensions.ai/details/publication/pub.1042470270,22 Philosophy and Religious Studies; 2204 Religion and Religious Studies,22 Philosophy and Religious Studies,2204 Religion and Religious Studies,,,
10,100,pub.1031419137,10.1088/1748-9326/3/4/045012,,,Where next with global environmental scenarios?,Environmental Research Letters,,,2008-12,2008,3,4,045012,All OA; Gold,Article,"O'Neill, Brian; Pulver, Simone; VanDeveer, Stacy; Garb, Yaakov",,"O'Neill, Brian (National Center for Atmospheric Research; International Institute for Applied Systems Analysis); Pulver, Simone (Brown University); VanDeveer, Stacy (University of New Hampshire); Garb, Yaakov (Ben-Gurion University of the Negev)",22,2,,7.5,https://doi.org/10.1088/1748-9326/3/4/045012,https://app.dimensions.ai/details/publication/pub.1031419137,1605 Policy and Administration; 14 Economics; 16 Studies in Human Society; 1608 Sociology; 1402 Applied Economics,1605 Policy and Administration,14 Economics,16 Studies in Human Society,1608 Sociology,1402 Applied Economics
11,100,pub.1021063664,10.1111/j.1467-9388.2008.00613.x,,,Environment as ‘High Politics’? Explaining Divergence in US and EU Hazardous Waste Export Policies,Review of European Community & International Environmental Law,,,2008-12,2008,17,3,306-318,Closed,Article,"Dreher, Kelly; Pulver, Simone",,"Dreher, Kelly (); Pulver, Simone (Brown University)",4,1,,3.53,,https://app.dimensions.ai/details/publication/pub.1021063664,18 Law and Legal Studies; 1801 Law,18 Law and Legal Studies,1801 Law,,,
12,100,pub.1031300039,10.1088/1748-9326/3/4/045015,,,"Scenarios in society, society in scenarios: toward a social scientific analysis of storyline-driven environmental modeling",Environmental Research Letters,,,2008-10,2008,3,4,045015,All OA; Gold,Article,"Garb, Yaakov; Pulver, Simone; VanDeveer, Stacy D",,"Garb, Yaakov (Ben-Gurion University of the Negev); Pulver, Simone (Brown University); VanDeveer, Stacy D ()",46,10,,14.38,http://iopscience.iop.org/article/10.1088/1748-9326/3/4/045015/pdf,https://app.dimensions.ai/details/publication/pub.1031300039,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
13,200,pub.1020988273,10.1007/s12116-007-9011-7,,,Introduction: Developing-Country Firms as Agents of Environmental Sustainability?,Studies in Comparative International Development,,,2007-12,2007,42,3-4,191-207,Closed,Article,"Pulver, Simone","Pulver, Simone","Pulver, Simone (Brown University)",6,1,,,,https://app.dimensions.ai/details/publication/pub.1020988273,,,,,,
14,100,pub.1043682412,10.1007/s12116-007-9010-8,,,Importing Environmentalism: Explaining Petroleos Mexicanos’ Cooperative Climate Policy,Studies in Comparative International Development,,,2007-12,2007,42,3-4,233-255,Closed,Article,"Pulver, Simone","Pulver, Simone","Pulver, Simone (Brown University)",6,1,,1.96,,https://app.dimensions.ai/details/publication/pub.1043682412,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
15,100,pub.1053802852,10.1177/1086026607300246,,,Making Sense of Corporate Environmentalism,Organization & Environment,,,2007-03,2007,20,1,44-83,Closed,Article,"Pulver, Simone",,"Pulver, Simone (Brown University)",66,13,,22.84,,https://app.dimensions.ai/details/publication/pub.1053802852,"2203 Philosophy; 15 Commerce, Management, Tourism and Services; 16 Studies in Human Society; 22 Philosophy and Religious Studies; 1503 Business and Management; 1608 Sociology",2203 Philosophy,"15 Commerce, Management, Tourism and Services",16 Studies in Human Society,22 Philosophy and Religious Studies,1503 Business and Management
