,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Stephen R Proulx. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1120474339,10.1111/ele.13355,31436016,,How differing modes of non‐genetic inheritance affect population viability in fluctuating environments,Ecology Letters,,"Adaptation, Physiological; Animals; Caenorhabditis elegans; Phenotype",2019-11,2019,22,11,1767-1775,Closed,Article,"Proulx, Stephen R.; Dey, Snigdhadip; Guzella, Thiago; Teotónio, Henrique",,"Proulx, Stephen R. (University of California, Santa Barbara); Dey, Snigdhadip (French National Centre for Scientific Research); Guzella, Thiago (French National Centre for Scientific Research); Teotónio, Henrique (French National Centre for Scientific Research)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120474339,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
2,500,pub.1117788810,10.1534/g3.119.400239,31278175,PMC6723137,Partial Selfing Can Reduce Genetic Loads While Maintaining Diversity During Experimental Evolution,"G3: Genes, Genomes, Genetics",,,2019-09,2019,9,9,g3.400239.2019,All OA; Gold,Article,"Chelo, Ivo M; Afonso, Bruno; Carvalho, Sara; Theologidis, Ioannis; Goy, Christine; Pino-Querido, Ania; Proulx, Stephen R; Teotónio, Henrique",,"Chelo, Ivo M (Instituto Gulbenkian de Ciência; University of Lisbon); Afonso, Bruno (Instituto Gulbenkian de Ciência; Institut de Biologie de l'École Normale Supérieure); Carvalho, Sara (Instituto Gulbenkian de Ciência); Theologidis, Ioannis (Foundation for Research and Technology Hellas); Goy, Christine (); Pino-Querido, Ania (Instituto Gulbenkian de Ciência); Proulx, Stephen R (University of California, Santa Barbara); Teotónio, Henrique (Institut de Biologie de l'École Normale Supérieure)",2,2,,,https://doi.org/10.1534/g3.119.400239,https://app.dimensions.ai/details/publication/pub.1117788810,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
3,100,pub.1110930279,10.1101/506865,,,How differing modes of transgenerational inheritance affect population viability in fluctuating environments,bioRxiv,,,2018-12-27,2018,,,506865,"All OA; Green, Published",Preprint,"Proulx, Stephen R; Dey, Snigdhadip; Guzella, Thiago; Teotonio, Henrique",,"Proulx, Stephen R (University of California, Santa Barbara); Dey, Snigdhadip (Institut de Biologie de l'École Normale Supérieure); Guzella, Thiago (Institut de Biologie de l'École Normale Supérieure); Teotonio, Henrique (Institut de Biologie de l'École Normale Supérieure)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2018/12/27/506865.full.pdf,https://app.dimensions.ai/details/publication/pub.1110930279,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
4,500,pub.1107973568,10.1371/journal.pgen.1007731,30383789,PMC6233921,Slower environmental change hinders adaptation from standing genetic variation,PLoS Genetics,,"Adaptation, Biological; Environment; Evolution, Molecular; Gene-Environment Interaction; Genetic Fitness; Genetic Variation; Genetics, Population; Mutation; Reproducibility of Results; Selection, Genetic",2018-11-01,2018,14,11,e1007731,All OA; Gold,Article,"Guzella, Thiago S.; Dey, Snigdhadip; Chelo, Ivo M.; Pino-Querido, Ania; Pereira, Veronica F.; Proulx, Stephen R.; Teotónio, Henrique",,"Guzella, Thiago S. (French National Centre for Scientific Research); Dey, Snigdhadip (French National Centre for Scientific Research); Chelo, Ivo M. (Instituto Gulbenkian de Ciência); Pino-Querido, Ania (Instituto Gulbenkian de Ciência); Pereira, Veronica F. (French National Centre for Scientific Research); Proulx, Stephen R. (University of California, Santa Barbara); Teotónio, Henrique (French National Centre for Scientific Research)",4,4,,,https://journals.plos.org/plosgenetics/article/file?id=10.1371/journal.pgen.1007731&type=printable,https://app.dimensions.ai/details/publication/pub.1107973568,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
5,100,pub.1092417497,10.1101/210005,,,Partial selfing eliminates inbreeding depression while maintaining genetic diversity,bioRxiv,,,2017-10-27,2017,,,210005,"All OA; Green, Published",Preprint,"Chelo, Ivo M.; Afonso, Bruno; Carvalho, Sara; Theologidis, Ioannis; Goy, Christine; Pino-Querido, Ania; Proulx, Stephen R.; Teotonio, Henrique",,"Chelo, Ivo M. (Instituto Gulbenkian de Ciência); Afonso, Bruno (Instituto Gulbenkian de Ciência); Carvalho, Sara (Instituto Gulbenkian de Ciência); Theologidis, Ioannis (Instituto Gulbenkian de Ciência); Goy, Christine (Instituto Gulbenkian de Ciência); Pino-Querido, Ania (Instituto Gulbenkian de Ciência); Proulx, Stephen R. (University of California, Santa Barbara); Teotonio, Henrique (Institut de Biologie de l'École Normale Supérieure)",0,0,,0,https://www.biorxiv.org/content/biorxiv/early/2017/10/27/210005.full.pdf,https://app.dimensions.ai/details/publication/pub.1092417497,0604 Genetics; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,06 Biological Sciences,0603 Evolutionary Biology,,
6,100,pub.1092272843,10.1101/203760,,,Slower environmental change hinders adaptation from standing genetic variation,bioRxiv,,,2017-10-16,2017,,,203760,"All OA; Green, Published",Preprint,"Guzella, Thiago S.; Dey, Snigdhadip; Chelo, Ivo M; Pino-Querido, Ania; Pereira, Veronica F.; Proulx, Stephen R.; Teotonio, Henrique",,"Guzella, Thiago S. (); Dey, Snigdhadip (); Chelo, Ivo M (Instituto Gulbenkian de Ciência); Pino-Querido, Ania (Instituto Gulbenkian de Ciência); Pereira, Veronica F. (); Proulx, Stephen R. (University of California, Santa Barbara); Teotonio, Henrique ()",1,0,,0.38,https://www.biorxiv.org/content/biorxiv/early/2017/10/16/203760.full.pdf,https://app.dimensions.ai/details/publication/pub.1092272843,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
7,500,pub.1084171317,10.1086/691423,28514627,,What Kind of Maternal Effects Can Be Selected For in Fluctuating Environments?,The American Naturalist,,"Environment; Maternal Inheritance; Phenotype; Selection, Genetic",2017-06,2017,189,6,e118-e137,Closed,Article,"Proulx, Stephen R; Teotónio, Henrique",,"Proulx, Stephen R (); Teotónio, Henrique ()",14,11,1.37,5.45,,https://app.dimensions.ai/details/publication/pub.1084171317,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,100,pub.1085104025,10.1101/098376,,,The evolution of p53 network behavior,bioRxiv,,,2017-01-05,2017,,,098376,"All OA; Green, Published",Preprint,"Sivakumar, Hari; Hespanha, Joao P; Roh, Kyoungmin; Proulx, Stephen R",,"Sivakumar, Hari (University of California, Santa Barbara); Hespanha, Joao P (University of California, Santa Barbara); Roh, Kyoungmin (University of California, Santa Barbara); Proulx, Stephen R (University of California, Santa Barbara)",0,0,,0,https://www.biorxiv.org/content/biorxiv/early/2017/01/05/098376.full.pdf,https://app.dimensions.ai/details/publication/pub.1085104025,0604 Genetics; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0604 Genetics,0601 Biochemistry and Cell Biology,06 Biological Sciences,,
9,400,pub.1039622036,10.1371/journal.pbio.1002388,26910440,PMC4766184,Adaptation to Temporally Fluctuating Environments by the Evolution of Maternal Effects,PLoS Biology,,"Adaptation, Biological; Animals; Biological Evolution; Caenorhabditis elegans; Environment; Female; Glycogen; Hypoxia; Maternal Exposure; Sodium Chloride",2016-02-24,2016,14,2,e1002388,All OA; Gold,Article,"Dey, Snigdhadip; Proulx, Stephen R.; Teotónio, Henrique",,"Dey, Snigdhadip (Institut de Biologie de l'École Normale Supérieure); Proulx, Stephen R. (University of California, Santa Barbara); Teotónio, Henrique (Institut de Biologie de l'École Normale Supérieure)",34,22,2.18,7.28,https://doi.org/10.1371/journal.pbio.1002388,https://app.dimensions.ai/details/publication/pub.1039622036,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
