,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Susan Lynn Cassels. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1111613644,10.1007/s10461-019-02403-0,30673896,PMC6536330,"Coital Frequency and Male Concurrent Partnerships During Pregnancy and Postpartum in Agbogbloshie, Ghana",AIDS and Behavior,,Adolescent; Adult; Female; Ghana; Humans; Male; Marital Status; Postpartum Period; Pregnancy; Prevalence; Retrospective Studies; Sexual Behavior; Sexual Partners; Unsafe Sex; Young Adult,2019-06,2019,23,6,1508-1517,Closed,Article,"Cassels, Susan; Jenness, Samuel M.; Biney, Adriana A. E.","Cassels, Susan","Cassels, Susan (University of California, Santa Barbara); Jenness, Samuel M. (Emory University); Biney, Adriana A. E. (University of Ghana)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111613644,11 Medical and Health Sciences; 1114 Paediatrics and Reproductive Medicine,11 Medical and Health Sciences,1114 Paediatrics and Reproductive Medicine,,,
2,500,pub.1105270283,10.1016/j.compenvurbsys.2018.06.008,30983651,PMC6457472,A large-scale location-based social network to understanding the impact of human geo-social interaction patterns on vaccination strategies in an urbanized area,Computers Environment and Urban Systems,,,2018-11,2018,72,Nature 406 2000,78-87,"All OA; Green, Accepted & Submitted",Article,"Luo, Wei; Gao, Peng; Cassels, Susan","Gao, Peng","Luo, Wei (Arizona State University); Gao, Peng (University at Buffalo, State University of New York); Cassels, Susan (University of California, Santa Barbara)",3,3,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6457472,https://app.dimensions.ai/details/publication/pub.1105270283,09 Engineering; 0909 Geomatic Engineering; 12 Built Environment and Design; 1205 Urban and Regional Planning,09 Engineering,0909 Geomatic Engineering,12 Built Environment and Design,1205 Urban and Regional Planning,
3,200,pub.1105701816,10.1002/jia2.25140,30027553,PMC6053478,One step ahead: timing and sexual networks in population mobility and HIV prevention and care,Journal of the International AIDS Society,,,2018-07,2018,21,Suppl Suppl 4,e25140,All OA; Gold,Article,"Cassels, Susan; Camlin, Carol S; Seeley, Janet",,"Cassels, Susan (University of California, Santa Barbara); Camlin, Carol S (University of California, San Francisco); Seeley, Janet (London School of Hygiene & Tropical Medicine)",1,1,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/jia2.25140,https://app.dimensions.ai/details/publication/pub.1105701816,11 Medical and Health Sciences; 1199 Other Medical and Health Sciences,11 Medical and Health Sciences,1199 Other Medical and Health Sciences,,,
4,200,pub.1105701554,10.1002/jia2.25136,30027588,PMC6053544,Bringing population mobility into focus to achieve HIV prevention goals,Journal of the International AIDS Society,,,2018-07,2018,21,Suppl Suppl 4,e25136,All OA; Gold,Article,"Camlin, Carol S; Cassels, Susan; Seeley, Janet",,"Camlin, Carol S (University of California, San Francisco); Cassels, Susan (University of California, Santa Barbara); Seeley, Janet (London School of Hygiene & Tropical Medicine)",7,7,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/jia2.25136,https://app.dimensions.ai/details/publication/pub.1105701554,11 Medical and Health Sciences; 1199 Other Medical and Health Sciences,11 Medical and Health Sciences,1199 Other Medical and Health Sciences,,,
5,500,pub.1105227923,10.2196/publichealth.9357,29959112,PMC6045793,Development of an Agent-Based Model to Investigate the Impact of HIV Self-Testing Programs on Men Who Have Sex With Men in Atlanta and Seattle.,JMIR Public Health and Surveillance,,,2018-06-29,2018,4,2,e58,All OA; Gold,Article,"Luo, Wei; Katz, David A; Hamilton, Deven T; McKenney, Jennie; Jenness, Samuel M; Goodreau, Steven M; Stekler, Joanne D; Rosenberg, Eli S; Sullivan, Patrick S; Cassels, Susan",,"Luo, Wei (Arizona State University); Katz, David A (University of Washington); Hamilton, Deven T (University of Washington); McKenney, Jennie (Emory University); Jenness, Samuel M (Emory University); Goodreau, Steven M (University of Washington); Stekler, Joanne D (University of Washington); Rosenberg, Eli S (State University of New York); Sullivan, Patrick S (Emory University); Cassels, Susan (University of California, Santa Barbara)",2,2,,,https://doi.org/10.2196/publichealth.9357,https://app.dimensions.ai/details/publication/pub.1105227923,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
6,100,pub.1108991613,10.2196/preprints.9357,,,Development of an Agent-Based Model to Investigate the Impact of HIV Self-Testing Programs on Men Who Have Sex With Men in Atlanta and Seattle (Preprint),JMIR Preprints,,,2017-11-13,2017,,,,"All OA; Green, Published",Preprint,"Luo, Wei; Katz, David A; Hamilton, Deven T; McKenney, Jennie; Jenness, Samuel M; Goodreau, Steven M; Stekler, Joanne D; Rosenberg, Eli S; Sullivan, Patrick S; Cassels, Susan",,"Luo, Wei (); Katz, David A (); Hamilton, Deven T (); McKenney, Jennie (); Jenness, Samuel M (); Goodreau, Steven M (); Stekler, Joanne D (); Rosenberg, Eli S (); Sullivan, Patrick S (); Cassels, Susan ()",0,0,,0,http://preprints.jmir.org/preprint/download/9357/pdf,https://app.dimensions.ai/details/publication/pub.1108991613,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
7,100,pub.1091894135,10.1016/j.apgeog.2017.08.018,,,"Thirty years of land use/cover change in the Caribbean: Assessing the relationship between urbanization and mangrove loss in Roatán, Honduras",Applied Geography,,,2017-11,2017,88,,84-93,Closed,Article,"Tuholske, Cascade; Tane, Zachary; López-Carr, David; Roberts, Dar; Cassels, Susan","Tuholske, Cascade","Tuholske, Cascade (University of California, Santa Barbara); Tane, Zachary (University of California, Santa Barbara; US Forest Service); López-Carr, David (University of California, Santa Barbara); Roberts, Dar (University of California, Santa Barbara); Cassels, Susan (University of California, Santa Barbara)",2,2,,0.96,,https://app.dimensions.ai/details/publication/pub.1091894135,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
8,500,pub.1085195648,10.1016/j.socscimed.2017.05.003,28501018,PMC5525941,"Geographic mobility and potential bridging for sexually transmitted infections in Agbogbloshie, Ghana",Social Science & Medicine,,Adolescent; Adult; Cross-Sectional Studies; Female; Geographic Mapping; Ghana; HIV Infections; Humans; Income; Male; Marital Status; Middle Aged; Population Dynamics; Retrospective Studies; Risk Factors; Sexual Partners; Sexually Transmitted Diseases,2017-07,2017,184,,27-39,"All OA; Green, Accepted & Submitted",Article,"Cassels, Susan; Jenness, Samuel M.; Biney, Adriana A.E.; Dodoo, F. Nii-Amoo","Cassels, Susan","Cassels, Susan (University of California, Santa Barbara); Jenness, Samuel M. (Emory University); Biney, Adriana A.E. (University of Ghana); Dodoo, F. Nii-Amoo ()",1,1,0.34,0.81,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5525941,https://app.dimensions.ai/details/publication/pub.1085195648,16 Studies in Human Society; 1117 Public Health and Health Services; 11 Medical and Health Sciences; 1699 Other Studies In Human Society,16 Studies in Human Society,1117 Public Health and Health Services,11 Medical and Health Sciences,1699 Other Studies In Human Society,
9,400,pub.1037994203,10.1136/sextrans-2015-052476,27288415,PMC5572479,Effectiveness of combination packages for HIV-1 prevention in sub-Saharan Africa depends on partnership network structure: a mathematical modelling study,Sexually Transmitted Infections,,"Africa South of the Sahara; Circumcision, Male; Community Health Services; Disease Progression; HIV Infections; Health Promotion; Humans; Male; Models, Theoretical; Prevalence; Program Evaluation; Sexual Behavior; Sexual Partners; Social Support",2016-12,2016,92,8,619,"All OA; Green, Accepted & Submitted",Article,"Jenness, Samuel M; Goodreau, Steven M; Morris, Martina; Cassels, Susan",,"Jenness, Samuel M (Emory University); Goodreau, Steven M (University of Washington); Morris, Martina (University of Washington); Cassels, Susan (University of California, Santa Barbara)",5,1,0.47,1.94,http://europepmc.org/articles/pmc5572479?pdf=render,https://app.dimensions.ai/details/publication/pub.1037994203,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
