,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Syee Weldeab. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1120763985,10.1038/s41597-019-0173-8,31477737,PMC6718518,Consistently dated Atlantic sediment cores over the last 40 thousand years,Scientific Data,,,2019-12,2019,6,1,165,Closed,Article,"Waelbroeck, Claire; Lougheed, Bryan C.; Vazquez Riveiros, Natalia; Missiaen, Lise; Pedro, Joel; Dokken, Trond; Hajdas, Irka; Wacker, Lukas; Abbott, Peter; Dumoulin, Jean-Pascal; Thil, François; Eynaud, Frédérique; Rossignol, Linda; Fersi, Wiem; Albuquerque, Ana Luiza; Arz, Helge; Austin, William E. N.; Came, Rosemarie; Carlson, Anders E.; Collins, James A.; Dennielou, Bernard; Desprat, Stéphanie; Dickson, Alex; Elliot, Mary; Farmer, Christa; Giraudeau, Jacques; Gottschalk, Julia; Henderiks, Jorijntje; Hughen, Konrad; Jung, Simon; Knutz, Paul; Lebreiro, Susana; Lund, David C.; Lynch-Stieglitz, Jean; Malaizé, Bruno; Marchitto, Thomas; Martínez-Méndez, Gema; Mollenhauer, Gesine; Naughton, Filipa; Nave, Silvia; Nürnberg, Dirk; Oppo, Delia; Peck, Victoria; Peeters, Frank J. C.; Penaud, Aurélie; Portilho-Ramos, Rodrigo da Costa; Repschläger, Janne; Roberts, Jenny; Rühlemann, Carsten; Salgueiro, Emilia; Sanchez Goni, Maria Fernanda; Schönfeld, Joachim; Scussolini, Paolo; Skinner, Luke C.; Skonieczny, Charlotte; Thornalley, David; Toucanne, Samuel; Rooij, David Van; Vidal, Laurence; Voelker, Antje H. L.; Wary, Mélanie; Weldeab, Syee; Ziegler, Martin","Waelbroeck, Claire","Waelbroeck, Claire (); Lougheed, Bryan C. (); Vazquez Riveiros, Natalia (French Research Institute for Exploitation of the Sea); Missiaen, Lise (); Pedro, Joel (Uni Research (Norway)); Dokken, Trond (Uni Research (Norway)); Hajdas, Irka (Swiss Federal Institute of Technology in Zurich); Wacker, Lukas (Swiss Federal Institute of Technology in Zurich); Abbott, Peter (Cardiff University; University of Bern); Dumoulin, Jean-Pascal (); Thil, François (); Eynaud, Frédérique (Environnements et Paléoenvironnements Océaniques et Continentaux); Rossignol, Linda (Environnements et Paléoenvironnements Océaniques et Continentaux); Fersi, Wiem (); Albuquerque, Ana Luiza (Fluminense Federal University); Arz, Helge (); Austin, William E. N. (University of St Andrews); Came, Rosemarie (University of New Hampshire); Carlson, Anders E. (Oregon State University); Collins, James A. (); Dennielou, Bernard (French Research Institute for Exploitation of the Sea); Desprat, Stéphanie (Environnements et Paléoenvironnements Océaniques et Continentaux; École Pratique des Hautes Études); Dickson, Alex (Royal Holloway University of London); Elliot, Mary (Laboratory of Planetology and Geodynamics); Farmer, Christa (Hofstra University); Giraudeau, Jacques (Environnements et Paléoenvironnements Océaniques et Continentaux); Gottschalk, Julia (Lamont-Doherty Earth Observatory); Henderiks, Jorijntje (Uppsala University); Hughen, Konrad (Woods Hole Oceanographic Institution); Jung, Simon (University of Edinburgh); Knutz, Paul (Geological Survey of Denmark and Greenland); Lebreiro, Susana (Geological and Mining Institute of Spain); Lund, David C. (University of Connecticut); Lynch-Stieglitz, Jean (Georgia Institute of Technology); Malaizé, Bruno (Environnements et Paléoenvironnements Océaniques et Continentaux); Marchitto, Thomas (University of Colorado Boulder); Martínez-Méndez, Gema (Alfred Wegener Institute for Polar and Marine Research); Mollenhauer, Gesine (Alfred Wegener Institute for Polar and Marine Research); Naughton, Filipa (University of Algarve); Nave, Silvia (National Laboratory of Energy and Geology); Nürnberg, Dirk (GEOMAR Helmholtz Centre for Ocean Research Kiel); Oppo, Delia (Woods Hole Oceanographic Institution); Peck, Victoria (); Peeters, Frank J. C. (VU University Amsterdam); Penaud, Aurélie (); Portilho-Ramos, Rodrigo da Costa (University of Bremen); Repschläger, Janne (Max Planck Society); Roberts, Jenny (Thermo Fisher Scientific (Germany)); Rühlemann, Carsten (); Salgueiro, Emilia (University of Algarve); Sanchez Goni, Maria Fernanda (Environnements et Paléoenvironnements Océaniques et Continentaux; École Pratique des Hautes Études); Schönfeld, Joachim (GEOMAR Helmholtz Centre for Ocean Research Kiel); Scussolini, Paolo (VU University Amsterdam); Skinner, Luke C. (University of Cambridge); Skonieczny, Charlotte (Geosciences Paris Sud); Thornalley, David (University College London); Toucanne, Samuel (French Research Institute for Exploitation of the Sea); Rooij, David Van (Ghent University); Vidal, Laurence (Centre for Research and Teaching in Environmental Geoscience); Voelker, Antje H. L. (University of Algarve); Wary, Mélanie (Autonomous University of Barcelona); Weldeab, Syee (University of California, Santa Barbara); Ziegler, Martin (Utrecht University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120763985,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0405 Oceanography,
2,100,pub.1113881077,10.1029/2018gc008065,,,Enhanced Himalayan Glacial Melting During YD and H1 Recorded in the Northern Bay of Bengal,Geochemistry Geophysics Geosystems,,,2019-05-29,2019,20,5,2449-2461,Closed,Article,"Weldeab, Syee; Rühlemann, Carsten; Bookhagen, Bodo; Pausata, Francesco S. R.; Perez‐Lua, Fabiola M.",,"Weldeab, Syee (University of California, Santa Barbara); Rühlemann, Carsten (Federal Institute For Geosciences and Natural Resources); Bookhagen, Bodo (University of Potsdam; University of California, Santa Barbara); Pausata, Francesco S. R. (University of Quebec at Montreal); Perez‐Lua, Fabiola M. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113881077,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0401 Atmospheric Sciences,
3,100,pub.1099627077,10.1016/j.epsl.2017.11.026,,,"The effects of temperature, salinity, and the carbonate system on Mg/Ca in Globigerinoides ruber (white): A global sediment trap calibration",Earth and Planetary Science Letters,,,2018-01,2018,482,Science 289 2002,607-620,"All OA; Green, Accepted & Submitted",Article,"Gray, William R.; Weldeab, Syee; Lea, David W.; Rosenthal, Yair; Gruber, Nicolas; Donner, Barbara; Fischer, Gerhard","Gray, William R.","Gray, William R. (University of California, Santa Barbara); Weldeab, Syee (University of California, Santa Barbara); Lea, David W. (University of California, Santa Barbara); Rosenthal, Yair (Rutgers, The State University of New Jersey); Gruber, Nicolas (Swiss Federal Institute of Technology in Zurich); Donner, Barbara (University of Bremen); Fischer, Gerhard (University of Bremen)",26,26,,,https://research-repository.st-andrews.ac.uk/bitstream/10023/16652/1/Gray_2017_EPSL_G_ruber_AAM.pdf,https://app.dimensions.ai/details/publication/pub.1099627077,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
4,100,pub.1042240917,10.1002/2016pa002957,,,Strong middepth warming and weak radiocarbon imprints in the equatorial Atlantic during Heinrich 1 and Younger Dryas,Paleoceanography and Paleoclimatology,,,2016-08,2016,31,8,1070-1082,All OA; Gold,Article,"Weldeab, Syee; Friedrich, Tobias; Timmermann, Axel; Schneider, Ralph R.",,"Weldeab, Syee (University of California System); Friedrich, Tobias (University of Hawaii at Manoa); Timmermann, Axel (University of Hawaii at Manoa); Schneider, Ralph R. (Kiel University)",8,5,,1.98,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016PA002957,https://app.dimensions.ai/details/publication/pub.1042240917,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
5,100,pub.1003084863,10.1016/j.epsl.2016.01.009,,,Mg/Ca- Δ CO 3 pore water 2 − –temperature calibration for Globobulimina spp.: A sensitive paleothermometer for deep-sea temperature reconstruction,Earth and Planetary Science Letters,,,2016-03,2016,438,Palaeogeogr. Palaeoclimatol. Palaeoecol. 197 3–4 2003,95-102,All OA; Gold,Article,"Weldeab, Syee; Arce, Adam; Kasten, Sabine","Weldeab, Syee","Weldeab, Syee (University of California, Santa Barbara); Arce, Adam (University of California, Santa Barbara); Kasten, Sabine (Alfred Wegener Institute for Polar and Marine Research)",10,8,,2.27,https://manuscript.elsevier.com/S0012821X16000169/pdf/S0012821X16000169.pdf,https://app.dimensions.ai/details/publication/pub.1003084863,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
6,200,pub.1108095850,10.1130/abs/2016am-285829,,,"REEVALUATION OF MG/CA-TEMPERATURE CALIBRATION IN
                    GLOBIGERINOIDES RUBER
                    : A SEDIMENT TRAP APPROACH",Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Monteagudo, Minda M.; Weldeab, Syee; Lea, David W.; Rosenthal, Yair; Karl, David M.",,"Monteagudo, Minda M. (); Weldeab, Syee (); Lea, David W. (); Rosenthal, Yair (); Karl, David M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108095850,,,,,,
7,100,pub.1011205574,10.1016/j.palaeo.2014.06.001,,,Links between southwestern tropical Indian Ocean SST and precipitation over southeastern Africa over the last 17kyr,Palaeogeography Palaeoclimatology Palaeoecology,,,2014-09,2014,410,Geophys. Res. Lett. 34 2007,200-212,Closed,Article,"Weldeab, Syee; Lea, David W.; Oberhänsli, Hedi; Schneider, Ralph R.","Weldeab, Syee","Weldeab, Syee (); Lea, David W. (); Oberhänsli, Hedi (Museum für Naturkunde - Leibniz Institute for Evolution and Biodiversity Science); Schneider, Ralph R. (Kiel University)",20,7,,3.12,,https://app.dimensions.ai/details/publication/pub.1011205574,0602 Ecology; 0405 Oceanography; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0406 Physical Geography and Environmental Geoscience,0403 Geology,04 Earth Sciences
8,100,pub.1026929996,10.1002/2014gl059361,,,The pace of East African monsoon evolution during the Holocene,Geophysical Research Letters,,,2014-03-16,2014,41,5,1724-1732,All OA; Gold,Article,"Weldeab, Syee; Menke, Valerie; Schmiedl, Gerhard",,"Weldeab, Syee (University of California, Santa Barbara); Menke, Valerie (University of Hamburg); Schmiedl, Gerhard (University of Hamburg)",36,9,,5.58,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014GL059361,https://app.dimensions.ai/details/publication/pub.1026929996,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
9,100,pub.1029679403,10.1016/j.gca.2013.07.029,,,Assessment of seawater Nd isotope signatures extracted from foraminiferal shells and authigenic phases of Gulf of Guinea sediments,Geochimica et Cosmochimica Acta,,,2013-11,2013,121,,414-435,"All OA; Green, Accepted & Submitted",Article,"Kraft, Steffanie; Frank, Martin; Hathorne, Ed C.; Weldeab, Syee","Kraft, Steffanie","Kraft, Steffanie (GEOMAR Helmholtz Centre for Ocean Research Kiel); Frank, Martin (GEOMAR Helmholtz Centre for Ocean Research Kiel); Hathorne, Ed C. (GEOMAR Helmholtz Centre for Ocean Research Kiel); Weldeab, Syee (University of California, Santa Barbara)",26,4,,3.53,http://www.geol.ucsb.edu/sites/secure.lsit.ucsb.edu.geol.d7/files/sitefiles/people/weldeab/kraft%20et%20al%202013.pdf,https://app.dimensions.ai/details/publication/pub.1029679403,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
