,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Thomas Lee Turner. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113946436,10.1101/628495,,,Extensive intraspecies cryptic variation in an ancient embryonic gene regulatory network,bioRxiv,,,2019-05-05,2019,,,628495,"All OA; Green, Published",Preprint,"Cleuren, Yamila N. Torres; Ewe, Chee Kiang; Chipman, Kyle C.; Mears, Emily; Wood, Cricket G.; Al-Alami, Coco A.E.; Alcorn, Melissa R.; Turner, Thomas L.; Joshi, Pradeep M.; Snell, Russell G.; Rothman, Joel H.",,"Cleuren, Yamila N. Torres (University of Auckland; University of California, Santa Barbara); Ewe, Chee Kiang (University of California, Santa Barbara); Chipman, Kyle C. (University of California, Santa Barbara); Mears, Emily (University of Auckland); Wood, Cricket G. (University of California, Santa Barbara); Al-Alami, Coco A.E. (University of Auckland); Alcorn, Melissa R. (University of California, Santa Barbara); Turner, Thomas L. (University of California, Santa Barbara); Joshi, Pradeep M. (University of California, Santa Barbara); Snell, Russell G. (University of Auckland); Rothman, Joel H. (University of Auckland; University of California, Santa Barbara)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2019/05/12/628495.full.pdf,https://app.dimensions.ai/details/publication/pub.1113946436,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
2,100,pub.1110539472,10.1101/494013,,,The loci of behavioral evolution: evidence that Fas2 and tilB underlie differences in pupation site choice behavior between Drosophila melanogaster and D. simulans,bioRxiv,,,2018-12-11,2018,,,494013,"All OA; Green, Published",Preprint,"Pischedda, Alison; Shahandeh, Michael P.; Turner, Thomas L.",,"Pischedda, Alison (Columbia University); Shahandeh, Michael P. (University of California, Santa Barbara); Turner, Thomas L. (University of California, Santa Barbara)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2019/05/22/494013.full.pdf,https://app.dimensions.ai/details/publication/pub.1110539472,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
3,500,pub.1092517364,10.1111/evo.13389,29098691,PMC5760347,Male mate choice via cuticular hydrocarbon pheromones drives reproductive isolation between Drosophila species,Evolution,,"Animals; Drosophila; Female; Male; Mating Preference, Animal; Pheromones; Reproductive Isolation; Sexual Behavior, Animal",2018-01,2018,72,1,123-135,"All OA; Green, Accepted & Submitted",Article,"Shahandeh, Michael P.; Pischedda, Alison; Turner, Thomas L.",,"Shahandeh, Michael P. (University of California, Santa Barbara); Pischedda, Alison (Columbia University); Turner, Thomas L. (University of California, Santa Barbara)",13,13,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5760347,https://app.dimensions.ai/details/publication/pub.1092517364,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
4,400,pub.1053392833,10.1242/bio.019380,27694106,PMC5155530,Oviposition preferences for ethanol depend on spatial arrangement and differ dramatically among closely related Drosophila species,Biology Open,,,2016-11-15,2016,5,11,bio.019380,All OA; Gold,Article,"Sumethasorn, Matt; Turner, Thomas L",,"Sumethasorn, Matt (University of California, Santa Barbara); Turner, Thomas L (University of California, Santa Barbara)",6,4,0.82,1.28,http://bio.biologists.org/content/biolopen/5/11/1642.full.pdf,https://app.dimensions.ai/details/publication/pub.1053392833,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
5,400,pub.1001865926,10.7717/peerj.1173,26339551,PMC4558060,Choosing mates based on the diet of your ancestors: replication of non-genetic assortative mating in Drosophila melanogaster,PeerJ,,,2015-08-06,2015,3,,e1173,All OA; Gold,Article,"Najarro, Michael A.; Sumethasorn, Matt; Lamoureux, Alexandra; Turner, Thomas L.",,"Najarro, Michael A. (University of California, Santa Barbara); Sumethasorn, Matt (University of California, Santa Barbara); Lamoureux, Alexandra (University of California, Santa Barbara); Turner, Thomas L. (University of California, Santa Barbara)",26,15,1.48,4.17,https://peerj.com/articles/1173.pdf,https://app.dimensions.ai/details/publication/pub.1001865926,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
6,100,pub.1085106146,10.1101/006643,,,Genetic dissection of courtship song variation using the Drosophila Synthetic Population Resource,bioRxiv,,,2014-06-27,2014,,,006643,"All OA; Green, Published",Preprint,"Pischedda, Alison; Cochrane, Veronica A; Cochrane, Wesley G; Turner, Thomas L.",,"Pischedda, Alison (University of California, Santa Barbara); Cochrane, Veronica A (Oregon Health & Science University); Cochrane, Wesley G (Scripps Research Institute); Turner, Thomas L. (University of California, Santa Barbara)",0,0,,0,https://www.biorxiv.org/content/early/2014/06/27/006643.full.pdf,https://app.dimensions.ai/details/publication/pub.1085106146,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
7,400,pub.1029484678,10.1534/genetics.114.161778,24532781,PMC4012500,Exploiting the Extraordinary Genetic Polymorphism of Ciona for Developmental Genetics with Whole Genome Sequencing,Genetics,,"Animals; Base Sequence; Chromosome Mapping; Ciona intestinalis; Genes, Developmental; Genetic Loci; Genomics; Homozygote; Mutation; Neural Tube; Polymorphism, Genetic; Sequence Analysis, DNA",2014-05,2014,197,1,49-59,All OA; Gold,Article,"Abdul-Wajid, Sarah; Veeman, Michael T.; Chiba, Shota; Turner, Thomas L.; Smith, William C.",,"Abdul-Wajid, Sarah (University of California, Santa Barbara); Veeman, Michael T. (University of California, Santa Barbara); Chiba, Shota (University of California, Santa Barbara); Turner, Thomas L. (University of California, Santa Barbara); Smith, William C. (University of California, Santa Barbara)",5,0,0.24,0.65,http://www.genetics.org/content/197/1/49.full.pdf,https://app.dimensions.ai/details/publication/pub.1029484678,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
8,400,pub.1008737798,10.1111/mec.12719,24628660,PMC4036590,Fine‐mapping natural alleles: quantitative complementation to the rescue,Molecular Ecology,,Alleles; Animals; Chromosome Mapping; Clustered Regularly Interspaced Short Palindromic Repeats; Drosophila melanogaster; Genetic Complementation Test; Mutagenesis; Quantitative Trait Loci,2014-05,2014,23,10,2377-2382,"All OA; Green, Accepted & Submitted",Article,"Turner, Thomas L.",,"Turner, Thomas L. (University of California, Santa Barbara)",23,11,0.84,2.99,http://europepmc.org/articles/pmc4036590?pdf=render,https://app.dimensions.ai/details/publication/pub.1008737798,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
9,100,pub.1085102702,10.1101/004325,,,"Behavioral variation in Drosophila melanogaster: no evidence for common alleles of large- effect at the foraging gene in a population from North Carolina, USA",bioRxiv,,,2014-04-21,2014,,,004325,"All OA; Green, Published",Preprint,"Turner, Thomas; Giauque, Christopher C; Schrider, Daniel R; Kern, Andrew D",,"Turner, Thomas (University of California, Santa Barbara); Giauque, Christopher C (); Schrider, Daniel R (Rutgers, The State University of New Jersey); Kern, Andrew D (Rutgers, The State University of New Jersey)",1,0,,0.13,https://www.biorxiv.org/content/biorxiv/early/2015/01/16/004325.full.pdf,https://app.dimensions.ai/details/publication/pub.1085102702,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
