,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Todd H Oakley. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1113752112,10.1111/evo.13748,31025309,,Context‐dependent evolution of ostracod morphology along the ecogeographical gradient of ocean depth,Evolution,,,2019-06,2019,73,6,1213-1225,Closed,Article,"Juarez, Bryan H.; Speiser, Daniel I.; Oakley, Todd H.",,"Juarez, Bryan H. (Iowa State University); Speiser, Daniel I. (); Oakley, Todd H. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1113752112,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
2,200,pub.1113675180,10.1093/jcbiol/ruz011,,,Evolving witnesses of changing environments: An introduction to the 18th International Symposium on Ostracoda,Journal of Crustacean Biology,,,2019-05-21,2019,39,3,199-201,All OA; Gold,Article,"Oakley, Todd H",,"Oakley, Todd H (University of California, Santa Barbara)",0,0,,,https://academic.oup.com/jcb/article-pdf/39/3/199/28683476/ruz011.pdf,https://app.dimensions.ai/details/publication/pub.1113675180,06 Biological Sciences; 0602 Ecology; 0608 Zoology; 0603 Evolutionary Biology,06 Biological Sciences,0602 Ecology,0608 Zoology,0603 Evolutionary Biology,
3,500,pub.1111367362,10.1073/pnas.1817322116,30635418,PMC6386654,Symbiotic organs shaped by distinct modes of genome evolution in cephalopods,Proceedings of the National Academy of Sciences,,Aliivibrio fischeri; Animals; Bacteria; Cephalopoda; Decapodiformes; Genome; Host Microbial Interactions; Octopodiformes; Symbiosis,2019-02-19,2019,116,8,201817322,All OA; Gold,Article,"Belcaid, Mahdi; Casaburi, Giorgio; McAnulty, Sarah J; Schmidbaur, Hannah; Suria, Andrea M; Moriano-Gutierrez, Silvia; Pankey, M Sabrina; Oakley, Todd H; Kremer, Natacha; Koch, Eric J; Collins, Andrew J; Nguyen, Hoan; Lek, Sai; Goncharenko-Foster, Irina; Minx, Patrick; Sodergren, Erica; Weinstock, George; Rokhsar, Daniel S; McFall-Ngai, Margaret; Simakov, Oleg; Foster, Jamie S; Nyholm, Spencer V",,"Belcaid, Mahdi (University of Hawaii at Manoa); Casaburi, Giorgio (University of Florida); McAnulty, Sarah J (University of Connecticut); Schmidbaur, Hannah (University of Vienna); Suria, Andrea M (University of Connecticut); Moriano-Gutierrez, Silvia (University of Hawaii at Manoa); Pankey, M Sabrina (University of California, Santa Barbara); Oakley, Todd H (University of California, Santa Barbara); Kremer, Natacha (Biometry and Evolutionary Biology Laboratory); Koch, Eric J (University of Hawaii at Manoa); Collins, Andrew J (University of Connecticut); Nguyen, Hoan (Jackson Laboratory); Lek, Sai (Jackson Laboratory); Goncharenko-Foster, Irina (University of Florida); Minx, Patrick (Washington University in St. Louis); Sodergren, Erica (Jackson Laboratory); Weinstock, George (Jackson Laboratory); Rokhsar, Daniel S (Okinawa Institute of Science and Technology; University of California, Berkeley; Joint Genome Institute); McFall-Ngai, Margaret (University of Hawaii at Manoa); Simakov, Oleg (University of Vienna; Okinawa Institute of Science and Technology); Foster, Jamie S (University of Florida); Nyholm, Spencer V (University of Connecticut)",10,10,,,https://www.pnas.org/content/pnas/116/8/3030.full.pdf,https://app.dimensions.ai/details/publication/pub.1111367362,0604 Genetics; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,06 Biological Sciences,0603 Evolutionary Biology,,
4,500,pub.1111459055,10.1098/rspb.2018.2621,30963873,PMC6367180,Phenotypic evolution shaped by current enzyme function in the bioluminescent courtship signals of sea fireflies,Proceedings of The Royal Society B Biological Sciences,,,2019-01-16,2019,286,1894,20182621,All OA; Gold,Article,"Hensley, Nicholai M.; Ellis, Emily A.; Gerrish, Gretchen A.; Torres, Elizabeth; Frawley, John P.; Oakley, Todd H.; Rivers, Trevor J.",,"Hensley, Nicholai M. (University of California, Santa Barbara); Ellis, Emily A. (University of California, Santa Barbara); Gerrish, Gretchen A. (); Torres, Elizabeth (California State University Los Angeles); Frawley, John P. (); Oakley, Todd H. (University of California, Santa Barbara); Rivers, Trevor J. (University of Kansas)",2,2,,,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2018.2621,https://app.dimensions.ai/details/publication/pub.1111459055,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
5,200,pub.1106474237,10.1016/b978-0-12-809633-8.90717-9,,,Bioluminescent Signals,,Encyclopedia of Animal Behavior,,2019,2019,,,449-461,Closed,Chapter,"Stanger-Hall, Kathrin F.; Oakley, Todd H.",,"Stanger-Hall, Kathrin F. (University of Georgia); Oakley, Todd H. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1106474237,,,,,,
6,500,pub.1105710133,10.1016/j.cub.2018.05.055,30033336,,Prolific Origination of Eyes in Cnidaria with Co-option of Non-visual Opsins,Current Biology,,"Animals; Biological Evolution; Cnidaria; Evolution, Molecular; Eye; Opsins; Phylogeny",2018-08,2018,28,15,2413-2419.e4,Closed,Article,"Picciani, Natasha; Kerlin, Jamie R.; Sierra, Noemie; Swafford, Andrew J.M.; Ramirez, M. Desmond; Roberts, Nickellaus G.; Cannon, Johanna T.; Daly, Marymegan; Oakley, Todd H.","Picciani, Natasha","Picciani, Natasha (University of California, Santa Barbara); Kerlin, Jamie R. (University of California, Santa Barbara); Sierra, Noemie (University of California, Santa Barbara); Swafford, Andrew J.M. (University of California, Santa Barbara); Ramirez, M. Desmond (University of California, Santa Barbara); Roberts, Nickellaus G. (University of California, Santa Barbara); Cannon, Johanna T. (University of California, Santa Barbara); Daly, Marymegan (The Ohio State University); Oakley, Todd H. (University of California, Santa Barbara)",7,7,,,,https://app.dimensions.ai/details/publication/pub.1105710133,1109 Neurosciences; 11 Medical and Health Sciences; 06 Biological Sciences; 0608 Zoology,1109 Neurosciences,11 Medical and Health Sciences,06 Biological Sciences,0608 Zoology,
7,500,pub.1104021666,10.1128/aem.00953-18,29776927,PMC6052273,Ecological Engineering Helps Maximize Function in Algal Oil Production,Applied and Environmental Microbiology,,Biofuels; Chlorophyta; Ecology; Fatty Acids; Gene Expression; Genetic Engineering; Lipid Metabolism,2018-05-18,2018,84,15,e00953-18,All OA; Gold,Article,"Jackrel, Sara L.; Narwani, Anita; Bentlage, Bastian; Levine, Robert B.; Hietala, David C.; Savage, Phillip E.; Oakley, Todd H.; Denef, Vincent J.; Cardinale, Bradley J.",,"Jackrel, Sara L. (University of Michigan); Narwani, Anita (Swiss Federal Institute of Aquatic Science and Technology); Bentlage, Bastian (University of Guam); Levine, Robert B. (University of Michigan); Hietala, David C. (University of Michigan); Savage, Phillip E. (University of Michigan; Pennsylvania State University); Oakley, Todd H. (University of California, Santa Barbara); Denef, Vincent J. (University of Michigan); Cardinale, Bradley J. (University of Michigan)",0,0,,,https://aem.asm.org/content/aem/84/15/e00953-18.full.pdf,https://app.dimensions.ai/details/publication/pub.1104021666,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
8,500,pub.1092955419,10.1242/jeb.163196,29170260,,Multimodal sensorimotor system in unicellular zoospores of a fungus,Journal of Experimental Biology,,"Allomyces; Chemotaxis; Phototaxis; Sensation; Spores, Fungal",2018-01-15,2018,221,2,jeb163196,All OA; Gold,Article,"Swafford, Andrew J M; Oakley, Todd H",,"Swafford, Andrew J M (University of California, Santa Barbara); Oakley, Todd H (University of California, Santa Barbara)",2,2,,,http://jeb.biologists.org/content/jexbio/221/2/jeb163196.full.pdf,https://app.dimensions.ai/details/publication/pub.1092955419,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
9,100,pub.1104322606,10.2139/ssrn.3155889,,,Prolific Origination of Eyes in Cnidaria With Co-Option of Non-Visual Opsins,SSRN Electronic Journal,,,2018,2018,,,,"All OA; Green, Accepted & Submitted",Preprint,"Picciani, Natasha; Kerlin, Jamie R.; Sierra, Noemie C.; Swafford, Andrew J. M.; Ramirez, M. Desmond; Cannon, Johanna T.; Daly, Marymegan; Oakley, Todd H.",,"Picciani, Natasha (); Kerlin, Jamie R. (); Sierra, Noemie C. (); Swafford, Andrew J. M. (); Ramirez, M. Desmond (); Cannon, Johanna T. (); Daly, Marymegan (); Oakley, Todd H. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1104322606,1109 Neurosciences; 11 Medical and Health Sciences; 06 Biological Sciences; 0608 Zoology,1109 Neurosciences,11 Medical and Health Sciences,06 Biological Sciences,0608 Zoology,
