,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is William Richard Rice. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1120268900,10.1101/731471,,,A Game of Thrones at Human Centromeres II. A new molecular/evolutionary model,bioRxiv,,,2019-08-10,2019,,,731471,"All OA; Green, Accepted & Submitted",Preprint,"Rice, William Richard",,"Rice, William Richard (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1120268900,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
2,500,pub.1105743433,10.1038/s41559-018-0613-4,30061561,,Arrest of sex-specific adaptation during the evolution of sexual dimorphism in Drosophila,Nature Ecology & Evolution,,Animals; Biological Evolution; Body Size; Drosophila melanogaster; Female; Male; Sex Characteristics,2018-09,2018,2,9,1507-1513,Closed,Article,"Stewart, Andrew D.; Rice, William R.","Stewart, Andrew D.","Stewart, Andrew D. (Canisius College; University of California, Santa Barbara); Rice, William R. (University of California, Santa Barbara)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1105743433,0604 Genetics; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,06 Biological Sciences,0603 Evolutionary Biology,,
3,200,pub.1092117283,10.1007/s10508-017-1092-4,28986707,,Understanding Homosexuality: Moving on from Patterns to Mechanisms,Archives of Sexual Behavior,,"Birth Order; Family Characteristics; Homosexuality; Homosexuality, Male; Humans; Male",2018-01,2018,47,1,27-31,Closed,Article,"Gavrilets, Sergey; Friberg, Urban; Rice, William R.","Gavrilets, Sergey","Gavrilets, Sergey (University of Tennessee at Knoxville); Friberg, Urban (Linköping University); Rice, William R. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1092117283,11 Medical and Health Sciences; 1699 Other Studies In Human Society; 16 Studies in Human Society; 1117 Public Health and Health Services; 17 Psychology and Cognitive Sciences; 1701 Psychology,11 Medical and Health Sciences,1699 Other Studies In Human Society,16 Studies in Human Society,1117 Public Health and Health Services,17 Psychology and Cognitive Sciences
4,400,pub.1041199593,10.1111/mec.13490,26600375,,Sexually antagonistic epigenetic marks that canalize sexually dimorphic development,Molecular Ecology,,"Animals; Epigenesis, Genetic; Female; Male; Mammals; Mutation; Sex Characteristics",2016-04,2016,25,8,1812-1822,"All OA; Green, Accepted & Submitted",Article,"Rice, William R.; Friberg, Urban; Gavrilets, Sergey",,"Rice, William R. (University of California, Santa Barbara); Friberg, Urban (Linköping University); Gavrilets, Sergey (University of Tennessee at Knoxville)",9,7,1.06,1.93,http://liu.diva-portal.org/smash/get/diva2:929171/FULLTEXT01,https://app.dimensions.ai/details/publication/pub.1041199593,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
5,400,pub.1013510503,10.1111/evo.12764,26374275,PMC4605864,Sexual selection has minimal impact on effective population sizes in species with high rates of random offspring mortality: An empirical demonstration using fitness distributions,Evolution,,"Animals; Drosophila melanogaster; Female; Fertility; Genetics, Population; Male; Mortality; Population Density; Reproduction; Sexual Behavior, Animal",2015-10,2015,69,10,2638-2647,"All OA; Green, Accepted & Submitted",Article,"Pischedda, Alison; Friberg, Urban; Stewart, Andrew D.; Miller, Paige M.; Rice, William R.",,"Pischedda, Alison (); Friberg, Urban (Linköping University); Stewart, Andrew D. (); Miller, Paige M. (); Rice, William R. ()",3,0,0.27,0.6,http://europepmc.org/articles/pmc4605864?pdf=render,https://app.dimensions.ai/details/publication/pub.1013510503,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
6,400,pub.1031594199,10.1101/cshperspect.a017608,25573714,PMC4355276,Sexually Antagonistic Zygotic Drive: A New Form of Genetic Conflict between the Sex Chromosomes,Cold Spring Harbor Perspectives in Biology,,"Biological Evolution; Conflict (Psychology); Consanguinity; Female; Humans; Male; Models, Genetic; Sex Chromosomes; Sibling Relations",2015-03,2015,7,3,a017608,All OA; Gold,Article,"Friberg, Urban; Rice, William R.",,"Friberg, Urban (Uppsala University; Linköping University); Rice, William R. (University of California, Santa Barbara)",6,1,0.32,0.96,http://cshperspectives.cshlp.org/content/7/3/a017608.full.pdf,https://app.dimensions.ai/details/publication/pub.1031594199,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
7,400,pub.1018391753,10.1534/g3.114.013292,25081980,PMC4199691,An X-Linked Sex Ratio Distorter in Drosophila simulans that Kills or Incapacitates Both Non-Carrier Sperm and Sons,"G3: Genes, Genomes, Genetics",,"Animals; Drosophila; Evolution, Molecular; Female; Genes, X-Linked; Male; Models, Genetic; Selection, Genetic; Sex Ratio; Spermatozoa",2014-10,2014,4,10,g3.114.013292,All OA; Gold,Article,"Rice, William R.",,"Rice, William R. (University of California, Santa Barbara)",3,1,0.12,0.39,http://www.g3journal.org/content/4/10/1837.full.pdf,https://app.dimensions.ai/details/publication/pub.1018391753,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
8,400,pub.1052739047,10.1534/genetics.113.160200,24496401,PMC3914610,The Synthesis Paradigm in Genetics,Genetics,,Alleles; Animals; Genes; Genetics; Genomic Imprinting; Humans; Phenotype,2014-02,2014,196,2,367-371,All OA; Gold,Article,"Rice, William R",,"Rice, William R (University of California, Santa Barbara)",3,0,0.12,0.39,http://www.genetics.org/content/196/2/367.full.pdf,https://app.dimensions.ai/details/publication/pub.1052739047,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
9,100,pub.1027738639,10.1146/annurev-ecolsys-110411-160242,,,Nothing in Genetics Makes Sense Except in Light of Genomic Conflict,Annual Review of Ecology Evolution and Systematics,,,2013-11-23,2013,44,1,217-237,Closed,Article,"Rice, William R.",,"Rice, William R. (University of California, Santa Barbara)",44,15,,4.97,,https://app.dimensions.ai/details/publication/pub.1027738639,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
