,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is William Z Haskell. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1114527703,10.1029/2019jc015048,,,Net Community Production in a Productive Coastal Ocean From an Autonomous Buoyancy‐Driven Glider,Journal of Geophysical Research Oceans,,,2019-06,2019,124,6,4188-4207,"All OA; Green, Published",Article,"Haskell, W. Z.; Hammond, D. E.; Prokopenko, M. G.; Teel, E. N.; Seegers, B. N.; Ragan, M. A.; Rollins, N.; Jones, B. H.",,"Haskell, W. Z. (University of California, Santa Barbara); Hammond, D. E. (University of Southern California); Prokopenko, M. G. (Pomona College); Teel, E. N. (University of Southern California); Seegers, B. N. (Goddard Space Flight Center; Universities Space Research Association); Ragan, M. A. (University of Southern California); Rollins, N. (University of Southern California); Jones, B. H. (King Abdullah University of Science and Technology)",0,0,,,https://repository.kaust.edu.sa/bitstream/10754/652933/1/Haskell_et_al-2019-Journal_of_Geophysical_Research__Oceans.pdf,https://app.dimensions.ai/details/publication/pub.1114527703,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
2,100,pub.1107710320,10.5194/bg-15-6151-2018,,,Contextualizing time-series data: quantification of short-term regional variability in the San Pedro Channel using high-resolution in situ glider data,Biogeosciences,,,2018-10-19,2018,15,20,6151-6165,All OA; Gold,Article,"Teel, Elizabeth N.; Liu, Xiao; Seegers, Bridget N.; Ragan, Matthew A.; Haskell, William Z.; Jones, Burton H.; Levine, Naomi M.",,"Teel, Elizabeth N. (University of Southern California); Liu, Xiao (University of Southern California; Princeton University); Seegers, Bridget N. (University of Southern California; Goddard Space Flight Center; Universities Space Research Association); Ragan, Matthew A. (University of Southern California); Haskell, William Z. (University of Southern California; University of California, Santa Barbara); Jones, Burton H. (University of Southern California; King Abdullah University of Science and Technology); Levine, Naomi M. (University of Southern California)",1,1,,,https://www.biogeosciences.net/15/6151/2018/bg-15-6151-2018.pdf,https://app.dimensions.ai/details/publication/pub.1107710320,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
3,200,pub.1103768973,10.1016/j.epsl.2018.04.031,,,Corrigendum to “A dual-tracer approach to estimate upwelling velocity in coastal Southern California” [Earth Planet. Sci. Lett. 422 (2015) 138–149],Earth and Planetary Science Letters,,,2018-07,2018,493,,173,Closed,Article,"Haskell, William Z.; Hammond, Douglas E.; Prokopenko, Maria G.","Haskell, William Z.","Haskell, William Z. (University of Southern California); Hammond, Douglas E. (University of Southern California); Prokopenko, Maria G. (University of Southern California)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1103768973,02 Physical Sciences; 04 Earth Sciences,02 Physical Sciences,04 Earth Sciences,,,
4,100,pub.1101767853,10.1016/j.jmarsys.2018.03.008,,,Concurrent estimates of carbon export reveal physical biases in ΔO2/Ar-based net community production estimates in the Southern California Bight,Journal of Marine Systems,,,2018-07,2018,183,Deep-Sea Res. I 64 2012,23-31,Closed,Article,"Haskell, William Z.; Fleming, John C.","Haskell, William Z.","Haskell, William Z. (University of California, Santa Barbara); Fleming, John C. (University of Southern California)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1101767853,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
5,100,pub.1092809717,10.5194/bg-2017-472,,,Contextualizing time-series data: Quantification of short-term regional variability in the San Pedro Channel using high-resolution in situ glider data,Biogeosciences Discussions,,,2017-11-20,2017,,,1-27,All OA; Gold,Article,"Teel, Elizabeth N.; Liu, Xiao; Seegers, Bridget N.; Ragan, Matthew A.; Haskell, William Z.; Jones, Burt H.; Levine, Naomi M.",,"Teel, Elizabeth N. (University of Southern California; Princeton University); Liu, Xiao (University of Southern California; Goddard Space Flight Center; Universities Space Research Association); Seegers, Bridget N. (University of Southern California); Ragan, Matthew A. (University of Southern California); Haskell, William Z. (University of Southern California; University of California, Santa Barbara); Jones, Burt H. (University of Southern California); Levine, Naomi M. (University of Southern California)",0,0,,0,https://repository.kaust.edu.sa/bitstream/10754/629949/1/bg-15-6151-2018.pdf,https://app.dimensions.ai/details/publication/pub.1092809717,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
6,100,pub.1083529413,10.1002/2016gb005561,,,Annual cyclicity in export efficiency in the inner Southern California Bight,Global Biogeochemical Cycles,,,2017,2017,31,2,357-376,All OA; Gold,Article,"Haskell, William Z.; Prokopenko, Maria G.; Hammond, Douglas E.; Stanley, Rachel H. R.; Sandwith, Zoe O.",,"Haskell, William Z. (University of Southern California; University of California, Santa Barbara); Prokopenko, Maria G. (University of Southern California; Pomona College); Hammond, Douglas E. (University of Southern California); Stanley, Rachel H. R. (Wellesley College); Sandwith, Zoe O. ()",9,7,,2.8,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016GB005561,https://app.dimensions.ai/details/publication/pub.1083529413,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
7,100,pub.1047385396,10.1016/j.dsr.2016.07.003,,,"An organic carbon budget for coastal Southern California determined by estimates of vertical nutrient flux, net community production and export",Deep Sea Research Part I Oceanographic Research Papers,,,2016-10,2016,116,,49-76,All OA; Gold,Article,"Haskell, William Z.; Prokopenko, Maria G.; Hammond, Douglas E.; Stanley, Rachel H.R.; Berelson, William M.; Baronas, J. Jotautas; Fleming, John C.; Aluwihare, Lihini","Haskell, William Z.","Haskell, William Z. (University of Southern California); Prokopenko, Maria G. (University of Southern California; Pomona College); Hammond, Douglas E. (University of Southern California); Stanley, Rachel H.R. (Wellesley College); Berelson, William M. (University of Southern California); Baronas, J. Jotautas (University of Southern California); Fleming, John C. (University of Southern California); Aluwihare, Lihini (University of California, San Diego)",10,6,,2.16,https://manuscript.elsevier.com/S0967063715301126/pdf/S0967063715301126.pdf,https://app.dimensions.ai/details/publication/pub.1047385396,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
8,100,pub.1040933570,10.1002/2016gl069523,,,Estimates of vertical turbulent mixing used to determine a vertical gradient in net and gross oxygen production in the oligotrophic South Pacific Gyre,Geophysical Research Letters,,,2016-07-28,2016,43,14,7590-7599,All OA; Gold,Article,"Haskell, W. Z.; Prokopenko, M. G.; Stanley, R. H. R.; Knapp, A. N.",,"Haskell, W. Z. (University of Southern California; University of Maryland Center For Environmental Sciences); Prokopenko, M. G. (University of Southern California; Pomona College); Stanley, R. H. R. (Wellesley College); Knapp, A. N. (Florida State University)",7,4,,2.32,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016GL069523,https://app.dimensions.ai/details/publication/pub.1040933570,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
9,100,pub.1047760879,10.1016/j.epsl.2015.04.015,,,A dual-tracer approach to estimate upwelling velocity in coastal Southern California,Earth and Planetary Science Letters,,,2015-07,2015,422,Appl. Radiat. Isot. 55 2001,138-149,Closed,Article,"Haskell, William Z.; Hammond, Douglas E.; Prokopenko, Maria G.","Haskell, William Z.","Haskell, William Z. (University of Southern California); Hammond, Douglas E. (University of Southern California); Prokopenko, Maria G. (University of Southern California)",5,3,,0.79,,https://app.dimensions.ai/details/publication/pub.1047760879,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
