,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Zachary C Eilon. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1113286283,10.1093/gji/ggz169,,,On the robustness of attenuation measurements on teleseismic P waves: insights from micro-array analysis of the 2017 North Korean nuclear test,Geophysical Journal International,,,2019-07-01,2019,218,1,573-585,All OA; Gold,Article,"Bezada, M J; Byrnes, J; Eilon, Z",,"Bezada, M J (University of Minnesota); Byrnes, J (University of Minnesota); Eilon, Z (University of California, Santa Barbara)",1,1,,,https://doi.org/10.1093/gji/ggz169,https://app.dimensions.ai/details/publication/pub.1113286283,09 Engineering; 0909 Geomatic Engineering; 0403 Geology; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0403 Geology,04 Earth Sciences,0404 Geophysics
2,200,pub.1111799294,10.1093/gji/ggz051,,,Amphibious surface-wave phase-velocity measurements of the Cascadia subduction zone,Geophysical Journal International,,,2019-06-01,2019,217,3,1929-1948,Closed,Article,"Janiszewski, Helen A; Gaherty, James B; Abers, Geoffrey A; Gao, Haiying; Eilon, Zachary C",,"Janiszewski, Helen A (Carnegie Institution for Science; Lamont-Doherty Earth Observatory); Gaherty, James B (Lamont-Doherty Earth Observatory); Abers, Geoffrey A (Cornell University); Gao, Haiying (University of Massachusetts Amherst); Eilon, Zachary C (University of California, Santa Barbara)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1111799294,09 Engineering; 0909 Geomatic Engineering; 0403 Geology; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0403 Geology,04 Earth Sciences,0404 Geophysics
3,100,pub.1113998705,10.1785/0220180336,,,OBSrange: A New Tool for the Precise Remote Location of Ocean‐Bottom Seismometers,Seismological Research Letters,,,2019-05-08,2019,,,,Closed,Article,"Russell, Joshua B.; Eilon, Zachary; Mosher, Stephen G.",,"Russell, Joshua B. (Lamont-Doherty Earth Observatory); Eilon, Zachary (University of California, Santa Barbara); Mosher, Stephen G. (University of Ottawa)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113998705,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
4,200,pub.1101908489,10.1093/gji/ggy137,,,An adaptive Bayesian inversion for upper-mantle structure using surface waves and scattered body waves,Geophysical Journal International,,,2018-07-01,2018,214,1,232-253,Closed,Article,"Eilon, Zachary; Fischer, Karen M; Dalton, Colleen A",,"Eilon, Zachary (Brown University; University of California, Santa Barbara); Fischer, Karen M (Brown University); Dalton, Colleen A (Brown University)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1101908489,09 Engineering; 0909 Geomatic Engineering; 0403 Geology; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0403 Geology,04 Earth Sciences,0404 Geophysics
5,100,pub.1103813008,10.1029/2017jb014936,,,Midcrustal Deformation in the Central Andes Constrained by Radial Anisotropy,Journal of Geophysical Research Solid Earth,,,2018-06,2018,123,6,4798-4813,"All OA; Green, Published",Article,"Lynner, Colton; Beck, Susan L.; Zandt, George; Porritt, Robert W.; Lin, Fan‐Chi; Eilon, Zachary C.",,"Lynner, Colton (University of Arizona); Beck, Susan L. (University of Arizona); Zandt, George (University of Arizona); Porritt, Robert W. (The University of Texas at Austin); Lin, Fan‐Chi (University of Utah); Eilon, Zachary C. (University of California, Santa Barbara)",4,4,,,https://escholarship.org/content/qt4fb2f4q0/qt4fb2f4q0.pdf?t=pflv6h,https://app.dimensions.ai/details/publication/pub.1103813008,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
6,100,pub.1090990800,10.1002/2017gc006944,,,The importance of grain size to mantle dynamics and seismological observations,Geochemistry Geophysics Geosystems,,,2017-08,2017,18,8,3034-3061,"All OA; Green, Published",Article,"Dannberg, J.; Eilon, Z.; Faul, Ulrich; Gassmöller, Rene; Moulik, Pritwiraj; Myhill, Robert",,"Dannberg, J. (Texas A&M University; Colorado State University); Eilon, Z. (Brown University; University of California, Santa Barbara); Faul, Ulrich (Massachusetts Institute of Technology); Gassmöller, Rene (Texas A&M University; Colorado State University); Moulik, Pritwiraj (University of Maryland, College Park); Myhill, Robert (University of Bristol)",14,14,,5.66,https://research-information.bristol.ac.uk/ws/files/129754151/Dannberg_et_al_2017_Geochemistry_2c_Geophysics_2c_Geosystems.pdf,https://app.dimensions.ai/details/publication/pub.1090990800,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
7,500,pub.1085582973,10.1126/sciadv.1602829,28560338,PMC5443646,High seismic attenuation at a mid-ocean ridge reveals the distribution of deep melt,Science Advances,,,2017-05,2017,3,5,e1602829,All OA; Gold,Article,"Eilon, Zachary C.; Abers, Geoffrey A.",,"Eilon, Zachary C. (Lamont-Doherty Earth Observatory; Brown University; University of California System); Abers, Geoffrey A. (Lamont-Doherty Earth Observatory; Cornell University)",19,17,0.09,7.68,https://advances.sciencemag.org/content/advances/3/5/e1602829.full.pdf,https://app.dimensions.ai/details/publication/pub.1085582973,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
8,200,pub.1059638198,10.1093/gji/ggw177,,,"A joint inversion for shear velocity and anisotropy: the Woodlark Rift, Papua New Guinea",Geophysical Journal International,,,2016-08-01,2016,206,2,807-824,"All OA; Green, Accepted & Submitted",Article,"Eilon, Zachary; Abers, Geoffrey A.; Gaherty, James B.",,"Eilon, Zachary (); Abers, Geoffrey A. (); Gaherty, James B. ()",2,2,,0.61,https://escholarship.org/content/qt3sj5n5sk/qt3sj5n5sk.pdf?t=pgbzpo,https://app.dimensions.ai/details/publication/pub.1059638198,09 Engineering; 0909 Geomatic Engineering; 0403 Geology; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0403 Geology,04 Earth Sciences,0404 Geophysics
9,100,pub.1045992686,10.1002/2015jb012621,,,Southeast Papuan crustal tectonics: Imaging extension and buoyancy of an active rift,Journal of Geophysical Research Solid Earth,,,2016-02,2016,121,2,951-971,All OA; Gold,Article,"Abers, G. A.; Eilon, Z.; Gaherty, J. B.; Jin, G.; Kim, YH.; Obrebski, M.; Dieck, C.",,"Abers, G. A. (Cornell University); Eilon, Z. (Lamont-Doherty Earth Observatory; Columbia University); Gaherty, J. B. (Lamont-Doherty Earth Observatory); Jin, G. (Columbia University); Kim, YH. (Seoul National University); Obrebski, M. (Lamont-Doherty Earth Observatory); Dieck, C. (Lamont-Doherty Earth Observatory)",14,11,,3.98,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015JB012621,https://app.dimensions.ai/details/publication/pub.1045992686,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
