,Argentina,Bolivia,Brazil,Canada,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Paraguay,Peru,Puerto Rico,Trinidad and Tobago,United States,Uruguay,Venezuela
continent,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas
gdpPercap_1952,5911.315053,2677.3263469999997,2108.944355,11367.16112,3939.9787890000002,2144.115096,2627.0094710000003,5586.53878,1397.7171369999999,3522.110717,3048.3029,2428.2377690000003,1840.366939,2194.926204,2898.5308809999997,3478.125529,3112.363948,2480.380334,1952.3087010000002,3758.523437,3081.959785,3023.271928,13990.482080000002,5716.766744,7689.799761
gdpPercap_1957,6856.856212000001,2127.686326,2487.365989,12489.95006,4315.6227229999995,2323.805581,2990.010802,6092.174359000001,1544.402995,3780.5466509999997,3421.523218,2617.155967,1726.887882,2220.487682,4756.525781,4131.546641,3457.415947,2961.800905,2046.1547059999998,4245.256697999999,3907.1561890000003,4100.3934,14847.12712,6150.772969,9802.466526
gdpPercap_1962,7133.166023000001,2180.972546,3336.585802,13462.48555,4519.094331,2492.351109,3460.937025,5180.75591,1662.137359,4086.114078,3776.8036270000002,2750.364446,1796.589032,2291.1568350000002,5246.107524,4581.609385,3634.364406,3536.540301,2148.027146,4957.037982,5108.34463,4997.5239710000005,16173.145859999999,5603.357717,8422.974165000001
gdpPercap_1967,8052.953020999999,2586.886053,3429.864357,16076.58803,5106.654313,2678.729839,4161.727834,5690.268015,1653.7230029999998,4579.074215,4358.595393,3242.5311469999997,1452.057666,2538.269358,6124.703450999999,5754.733883,4643.393534000001,4421.009084,2299.376311,5788.09333,6929.277714,5621.368472,19530.365569999998,5444.61962,9541.474188
gdpPercap_1972,9443.038526,2980.331339,4985.711467,18970.57086,5494.024437,3264.660041,5118.146939,5305.445256,2189.874499,5280.99471,4520.246008,4031.4082710000002,1654.456946,2529.842345,7433.889293000001,6809.406690000001,4688.593267,5364.2496630000005,2523.337977,5937.827283,9123.041742,6619.551418999999,21806.03594,5703.408898,10505.25966
gdpPercap_1977,10079.026740000001,3548.097832,6660.118654,22090.88306,4756.763836,3815.80787,5926.876967,6380.494965999999,2681.9889,6679.62326,5138.922374,4879.992748,1874.2989309999998,3203.208066,6650.195573,7674.929108,5486.371089,5351.912144,3248.373311,6281.290854999999,9770.524921,7899.554209000001,24072.63213,6504.339663000001,13143.95095
gdpPercap_1982,8997.897412,3156.510452,7030.835878,22898.79214,5095.665738000001,4397.575659,5262.734751,7316.9181069999995,2861.092386,7213.7912670000005,4098.344175,4820.49479,2011.1595489999997,3121.7607940000003,6068.05135,9611.147541,3470.3381560000003,7009.601598,4258.5036039999995,6434.501797,10330.98915,9119.528607,25009.55914,6920.223051000001,11152.410109999999
gdpPercap_1987,9139.671389,2753.6914899999997,7807.095818000001,26626.515030000002,5547.063754,4903.2191,5629.915318,7532.924762999999,2899.842175,6481.776993,4140.442097,4246.485974,1823.015995,3023.0966989999997,6351.237495,8688.156003,2955.984375,7034.779161,3998.875695,6360.9434439999995,12281.34191,7388.597823,29884.350410000003,7452.398969,9883.584648
gdpPercap_1992,9308.41871,2961.699694,6950.283020999999,26342.88426,7596.125964,5444.648617,6160.416317,5592.843963,3044.214214,7103.702595000001,4444.2317,4439.4508399999995,1456.309517,3081.694603,7404.923685,9472.384295,2170.151724,6618.74305,4196.411078,4446.380924,14641.587109999999,7370.990932,32003.93224,8137.004775,10733.926309999999
gdpPercap_1997,10967.28195,3326.143191,7957.980823999999,28954.92589,10118.053179999999,6117.3617460000005,6677.045314,5431.990415,3614.101285,7429.455876999999,5154.825496,4684.313807,1341.7269310000001,3160.454906,7121.924704000001,9767.29753,2253.023004,7113.692252,4247.400261,5838.347657,16999.4333,8792.573126000001,35767.43303,9230.240708,10165.49518
gdpPercap_2002,8797.640716,3413.26269,8131.212843000001,33328.96507,10778.78385,5755.259962,7723.447195000001,6340.646683,4563.808154,5773.0445119999995,5351.568665999999,4858.347495,1270.364932,3099.72866,6994.774861,10742.44053,2474.548819,7356.031934000001,3783.674243,5909.020073,18855.606180000002,11460.60023,39097.09955,7727.002004000001,8605.047831
gdpPercap_2007,12779.379640000001,3822.1370840000004,9065.800825,36319.235010000004,13171.63885,7006.580419,9645.06142,8948.102923,6025.374752000001,6873.262326000001,5728.353514,5186.050003,1201.637154,3548.3308460000003,7320.880262000001,11977.57496,2749.320965,9809.185636,4172.838464,7408.905561,19328.70901,18008.50924,42951.65309,10611.46299,11415.805690000001
