,division,group,label,count
0,Biological Sciences, 06 Biological Sciences,6,4034
1,Earth Sciences,04 Earth Sciences,4,2272
3,Biological Sciences,0602 Ecology,602,1722
4,Earth Sciences, 0403 Geology,403,1600
5,Environmental Sciences, 0502 Environmental Science and Management,502,1445
6,Engineering,09 Engineering,9,1439
7,Environmental Sciences, 05 Environmental Sciences,5,1241
9,Earth Sciences,0406 Physical Geography and Environmental Geoscience,406,952
11,Earth Sciences, 0405 Oceanography,405,921
12,Engineering, 0909 Geomatic Engineering,909,780
13,Information and Computing Sciences,08 Information and Computing Sciences,8,559
14,Earth Sciences, 0402 Geochemistry,402,544
17,Economics, 14 Economics,14,499
18,Engineering, 0907 Environmental Engineering,907,482
19,Biological Sciences,0604 Genetics,604,470
20,Agricultural and Veterinary Sciences, 07 Agricultural and Veterinary Sciences,7,438
21,Earth Sciences, 0404 Geophysics,404,392
22,Biological Sciences,0607 Plant Biology,607,340
23,Chemical Sciences,03 Chemical Sciences,3,333
24,Earth Sciences, 0401 Atmospheric Sciences,401,330
25,Studies in Human Society, 16 Studies in Human Society,16,303
26,Biological Sciences, 0603 Evolutionary Biology,603,298
27,Environmental Sciences, 0501 Ecological Applications,501,296
29,Information and Computing Sciences, 0806 Information Systems,806,288
30,Economics, 1402 Applied Economics,1402,269
31,Engineering, 0905 Civil Engineering,905,268
32,Studies in Human Society, 1604 Human Geography,1604,246
33,Biological Sciences,0605 Microbiology,605,243
34,Environmental Sciences,0503 Soil Sciences,503,236
35,Information and Computing Sciences, 0801 Artificial Intelligence and Image Processing,801,231
37,Chemical Sciences, 0306 Physical Chemistry (incl. Structural),306,224
38,Built Environment and Design, 1205 Urban and Regional Planning,1205,198
39,Biological Sciences, 0608 Zoology,608,182
41,Physical Sciences, 02 Physical Sciences,2,170
43,Medical and Health Sciences, 11 Medical and Health Sciences,11,163
44,Built Environment and Design, 12 Built Environment and Design,12,162
46,Mathematical Sciences, 01 Mathematical Sciences,1,140
47,"Commerce, Management, Tourism and Services"," 15 Commerce, Management, Tourism and Services",15,135
50,Engineering,0915 Interdisciplinary Engineering,915,118
51,Biological Sciences,0601 Biochemistry and Cell Biology,601,116
52,Chemical Sciences, 0399 Other Chemical Sciences,399,112
55,Biological Sciences, 0699 Other Biological Sciences,699,103
58,Psychology and Cognitive Sciences,17 Psychology and Cognitive Sciences,17,95
57,Psychology and Cognitive Sciences, 1701 Psychology,1701,95
59,Medical and Health Sciences,1117 Public Health and Health Services,1117,94
60,Mathematical Sciences, 0104 Statistics,104,90
61,"Commerce, Management, Tourism and Services", 1507 Transportation and Freight Services,1507,90
63,Physical Sciences, 0299 Other Physical Sciences,299,82
66,Engineering,0912 Materials Engineering,912,77
67,Engineering, 0906 Electrical and Electronic Engineering,906,74
72,Technology, 10 Technology,10,60
73,Mathematical Sciences,0102 Applied Mathematics,102,59
74,Information and Computing Sciences, 0803 Computer Software,803,58
76,Agricultural and Veterinary Sciences,0704 Fisheries Sciences,704,55
78,Studies in Human Society,1608 Sociology,1608,55
79,Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,703,54
80,Chemical Sciences, 0301 Analytical Chemistry,301,53
81,Studies in Human Society,1606 Political Science,1606,52
82,Studies in Human Society,1605 Policy and Administration,1605,50
83,Agricultural and Veterinary Sciences,0705 Forestry Sciences,705,48
84,Chemical Sciences, 0302 Inorganic Chemistry,302,46
85,History and Archaeology, 21 History and Archaeology,21,45
88,Chemical Sciences, 0303 Macromolecular and Materials Chemistry,303,44
86,Engineering, 0904 Chemical Engineering,904,44
90,Engineering,0914 Resources Engineering and Extractive Metallurgy,914,41
93,Philosophy and Religious Studies, 22 Philosophy and Religious Studies,22,36
