division,division_code,group,group_code
01 MATHEMATICAL SCIENCES,01,0101 PURE MATHEMATICS,0101
01 MATHEMATICAL SCIENCES,01,0102 APPLIED MATHEMATICS,0102
01 MATHEMATICAL SCIENCES,01,0103 NUMERICAL AND COMPUTATIONAL MATHEMATICS,0103
01 MATHEMATICAL SCIENCES,01,0104 STATISTICS,0104
01 MATHEMATICAL SCIENCES,01,0105 MATHEMATICAL PHYSICS,0105
01 MATHEMATICAL SCIENCES,01,0199 OTHER MATHEMATICAL SCIENCES,0199
02 PHYSICAL SCIENCES,02,0201 ASTRONOMICAL AND SPACE SCIENCES,0201
02 PHYSICAL SCIENCES,02,"0202 ATOMIC, MOLECULAR, NUCLEAR, PARTICLE AND PLASMA PHYSICS",0202
02 PHYSICAL SCIENCES,02,0203 CLASSICAL PHYSICS,0203
02 PHYSICAL SCIENCES,02,0204 CONDENSED MATTER PHYSICS,0204
02 PHYSICAL SCIENCES,02,0205 OPTICAL PHYSICS,0205
02 PHYSICAL SCIENCES,02,0206 QUANTUM PHYSICS,0206
02 PHYSICAL SCIENCES,02,0299 OTHER PHYSICAL SCIENCES,0299
03 CHEMICAL SCIENCES,03,0301 ANALYTICAL CHEMISTRY,0301
03 CHEMICAL SCIENCES,03,0302 INORGANIC CHEMISTRY,0302
03 CHEMICAL SCIENCES,03,0303 MACROMOLECULAR AND MATERIALS CHEMISTRY,0303
03 CHEMICAL SCIENCES,03,0304 MEDICINAL AND BIOMOLECULAR CHEMISTRY,0304
03 CHEMICAL SCIENCES,03,0305 ORGANIC CHEMISTRY,0305
03 CHEMICAL SCIENCES,03,0306 PHYSICAL CHEMISTRY (INCL. STRUCTURAL),0306
03 CHEMICAL SCIENCES,03,0307 THEORETICAL AND COMPUTATIONAL CHEMISTRY,0307
03 CHEMICAL SCIENCES,03,0399 OTHER CHEMICAL SCIENCES,0399
04 EARTH SCIENCES,04,0401 ATMOSPHERIC SCIENCES,0401
04 EARTH SCIENCES,04,0402 GEOCHEMISTRY,0402
04 EARTH SCIENCES,04,0403 GEOLOGY,0403
04 EARTH SCIENCES,04,0404 GEOPHYSICS,0404
04 EARTH SCIENCES,04,0405 OCEANOGRAPHY,0405
04 EARTH SCIENCES,04,0406 PHYSICAL GEOGRAPHY AND ENVIRONMENTAL GEOSCIENCE,0406
04 EARTH SCIENCES,04,0499 OTHER EARTH SCIENCES,0499
05 ENVIRONMENTAL SCIENCES,05,0501 ECOLOGICAL APPLICATIONS,0501
05 ENVIRONMENTAL SCIENCES,05,0502 ENVIRONMENTAL SCIENCE AND MANAGEMENT,0502
05 ENVIRONMENTAL SCIENCES,05,0503 SOIL SCIENCES,0503
05 ENVIRONMENTAL SCIENCES,05,0599 OTHER ENVIRONMENTAL SCIENCES,0599
06 BIOLOGICAL SCIENCES,06,0601 BIOCHEMISTRY AND CELL BIOLOGY,0601
06 BIOLOGICAL SCIENCES,06,0602 ECOLOGY,0602
06 BIOLOGICAL SCIENCES,06,0603 EVOLUTIONARY BIOLOGY,0603
06 BIOLOGICAL SCIENCES,06,0604 GENETICS,0604
06 BIOLOGICAL SCIENCES,06,0605 MICROBIOLOGY,0605
06 BIOLOGICAL SCIENCES,06,0606 PHYSIOLOGY,0606
06 BIOLOGICAL SCIENCES,06,0607 PLANT BIOLOGY,0607
06 BIOLOGICAL SCIENCES,06,0608 ZOOLOGY,0608
06 BIOLOGICAL SCIENCES,06,0699 OTHER BIOLOGICAL SCIENCES,0699
